****			
FIGNO: MHC156405			
XPROP: T			
XUNIT: K			
YPROP: Hc (Thermodynamic Hc)			
YUNIT: mT			
PPROP: R			
PUNIT: 			
sample: R3Ir4Sn13			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.48 	77.13 	R=Sr	1
0.56 	77.13 	R=Sr	2
0.78 	76.04 	R=Sr	3
0.84 	76.20 	R=Sr	4
0.89 	75.82 	R=Sr	5
0.92 	75.59 	R=Sr	6
0.97 	75.20 	R=Sr	7
1.01 	74.74 	R=Sr	8
1.06 	74.52 	R=Sr	9
1.11 	74.05 	R=Sr	10
1.17 	74.05 	R=Sr	11
1.22 	73.21 	R=Sr	12
1.26 	73.21 	R=Sr	13
1.33 	72.15 	R=Sr	14
1.40 	71.64 	R=Sr	15
1.47 	70.81 	R=Sr	16
1.56 	69.90 	R=Sr	17
1.61 	69.67 	R=Sr	18
1.67 	69.06 	R=Sr	19
1.70 	68.62 	R=Sr	20
1.76 	67.92 	R=Sr	21
1.85 	67.44 	R=Sr	22
1.89 	66.67 	R=Sr	23
1.95 	65.52 	R=Sr	24
2.01 	64.46 	R=Sr	25
2.07 	63.69 	R=Sr	26
2.13 	62.99 	R=Sr	27
2.21 	61.51 	R=Sr	28
2.30 	60.66 	R=Sr	29
2.37 	59.04 	R=Sr	30
2.45 	58.06 	R=Sr	31
2.52 	56.68 	R=Sr	32
2.59 	55.75 	R=Sr	33
2.66 	54.13 	R=Sr	34
2.74 	53.04 	R=Sr	35
2.79 	51.48 	R=Sr	36
2.87 	50.10 	R=Sr	37
2.93 	48.86 	R=Sr	38
3.03 	47.39 	R=Sr	39
3.08 	46.09 	R=Sr	40
3.16 	44.46 	R=Sr	41
3.25 	42.59 	R=Sr	42
3.33 	41.21 	R=Sr	43
3.38 	39.78 	R=Sr	44
3.46 	38.17 	R=Sr	45
3.53 	36.24 	R=Sr	46
3.62 	34.24 	R=Sr	47
3.68 	32.54 	R=Sr	48
3.73 	31.14 	R=Sr	49
3.83 	28.83 	R=Sr	50
3.91 	27.07 	R=Sr	51
3.98 	24.75 	R=Sr	52
4.06 	22.92 	R=Sr	53
4.12 	21.14 	R=Sr	54
4.19 	18.94 	R=Sr	55
4.26 	17.00 	R=Sr	56
4.32 	15.22 	R=Sr	57
4.41 	13.09 	R=Sr	58
4.48 	11.27 	R=Sr	59
4.57 	8.94 	R=Sr	60
4.63 	7.00 	R=Sr	61
4.70 	4.96 	R=Sr	62
4.78 	3.18 	R=Sr	63
4.85 	1.32 	R=Sr	64
4.92 	0.91 	R=Sr	65
4.98 	0.07 	R=Sr	66
0.66 	35.45 	R=La	1
0.81 	34.29 	R=La	2
0.93 	32.53 	R=La	3
0.99 	31.44 	R=La	4
1.11 	30.74 	R=La	5
1.19 	28.73 	R=La	6
1.31 	27.44 	R=La	7
1.38 	26.12 	R=La	8
1.50 	24.10 	R=La	9
1.56 	23.21 	R=La	10
1.67 	21.39 	R=La	11
1.79 	18.45 	R=La	12
1.86 	17.37 	R=La	13
1.98 	15.12 	R=La	14
2.10 	12.71 	R=La	15
2.13 	11.88 	R=La	16
2.25 	9.08 	R=La	17
2.39 	5.78 	R=La	18
2.43 	4.62 	R=La	19
2.57 	1.76 	R=La	20
2.67 	0.00 	R=La	21
