****			
FIGNO: MHC156419			
XPROP: T			
XUNIT: K			
"YPROP: Hc2, Hc1"			
"YUNIT: T, mT"			
PPROP: 			
PUNIT: 			
sample: PbTaSe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.353 	0.551 	Hc2	1
2.451 	0.500 	Hc2	2
2.560 	0.452 	Hc2	3
2.663 	0.402 	Hc2	4
2.773 	0.351 	Hc2	5
2.885 	0.302 	Hc2	6
3.003 	0.251 	Hc2	7
3.122 	0.201 	Hc2	8
3.252 	0.152 	Hc2	9
3.392 	0.104 	Hc2	10
3.481 	0.075 	Hc2	11
3.524 	0.062 	Hc2	12
3.549 	0.052 	Hc2	13
3.589 	0.042 	Hc2	14
3.634 	0.032 	Hc2	15
3.672 	0.021 	Hc2	16
3.733 	0.012 	Hc2	17
3.789 	0.004 	Hc2	18
2.014 	54.5 	Hc1	1
2.505 	42.4 	Hc1	2
2.744 	33.0 	Hc1	3
3.008 	26.5 	Hc1	4
3.254 	20.4 	Hc1	5
3.766 	0.2 	Hc1	6
