****			
FIGNO: MHC156674			
XPROP: T			
XUNIT: K			
YPROP: Hc2//a*/n/I			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
sample: Sr0.15Bi2Se3 #2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.478 	2.782 	0	1
0.646 	2.588 	0	2
0.797 	2.406 	0	3
0.942 	2.202 	0	4
1.096 	1.981 	0	5
1.259 	1.792 	0	6
1.407 	1.599 	0	7
1.560 	1.397 	0	8
1.721 	1.186 	0	9
1.894 	0.996 	0	10
2.072 	0.779 	0	11
2.251 	0.594 	0	12
2.329 	0.509 	0	13
2.436 	0.387 	0	14
2.554 	0.301 	0	15
2.691 	0.195 	0	16
2.844 	0.084 	0	17
3.030 	0.003 	0	18
0.353 	2.595 	0.26	1
0.491 	2.408 	0.26	2
0.660 	2.206 	0.26	3
0.831 	2.008 	0.26	4
0.962 	1.807 	0.26	5
1.147 	1.608 	0.26	6
1.358 	1.383 	0.26	7
1.536 	1.198 	0.26	8
1.635 	1.095 	0.26	9
1.725 	0.992 	0.26	10
1.835 	0.888 	0.26	11
1.947 	0.792 	0.26	12
2.065 	0.684 	0.26	13
2.148 	0.586 	0.26	14
2.275 	0.479 	0.26	15
2.383 	0.385 	0.26	16
2.526 	0.278 	0.26	17
2.674 	0.189 	0.26	18
2.827 	0.094 	0.26	19
0.303 	1.388 	0.6	1
0.477 	1.292 	0.6	2
0.636 	1.200 	0.6	3
0.788 	1.104 	0.6	4
0.947 	0.983 	0.6	5
1.109 	0.901 	0.6	6
1.270 	0.780 	0.6	7
1.422 	0.695 	0.6	8
1.579 	0.586 	0.6	9
1.738 	0.493 	0.6	10
1.916 	0.381 	0.6	11
2.094 	0.288 	0.6	12
2.271 	0.199 	0.6	13
2.466 	0.093 	0.6	14
2.747 	0.000 	0.6	15
0.269 	0.704 	0.95	1
0.534 	0.610 	0.95	2
0.782 	0.508 	0.95	3
1.033 	0.394 	0.95	4
1.264 	0.293 	0.95	5
1.512 	0.190 	0.95	6
1.772 	0.091 	0.95	7
2.088 	0.000 	0.95	8
0.349 	0.396 	1.29	1
0.520 	0.349 	1.29	2
0.678 	0.301 	1.29	3
0.827 	0.248 	1.29	4
0.981 	0.191 	1.29	5
1.138 	0.147 	1.29	6
1.274 	0.098 	1.29	7
1.420 	0.048 	1.29	8
1.603 	0.008 	1.29	9
0.313 	0.195 	1.72	1
0.422 	0.171 	1.72	2
0.540 	0.145 	1.72	3
0.673 	0.105 	1.72	4
0.749 	0.084 	1.72	5
0.838 	0.062 	1.72	6
0.929 	0.051 	1.72	7
1.098 	0.022 	1.72	8
1.150 	0.022 	1.72	9
