****			
FIGNO: MHC157040			
XPROP: T			
XUNIT: K			
YPROP: Hc2//ab			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
SAMPLE: Cu0.3Bi2.1Se3			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.21 	5.50 	0	1
0.61 	5.00 	0	2
0.95 	4.49 	0	3
1.26 	3.99 	0	4
1.54 	3.49 	0	5
1.82 	3.00 	0	6
2.09 	2.50 	0	7
2.35 	1.98 	0	8
2.60 	1.50 	0	9
2.83 	1.00 	0	10
3.08 	0.49 	0	11
3.37 	0.00 	0	12
0.33 	4.51 	0.26	1
0.81 	4.00 	0.26	2
1.18 	3.51 	0.26	3
1.50 	3.01 	0.26	4
1.81 	2.50 	0.26	5
2.14 	1.99 	0.26	6
2.42 	1.49 	0.26	7
2.71 	1.00 	0.26	8
2.99 	0.49 	0.26	9
3.29 	0.01 	0.26	10
0.63 	4.00 	0.67	1
1.03 	3.51 	0.67	2
1.39 	3.00 	0.67	3
1.70 	2.50 	0.67	4
2.05 	2.01 	0.67	5
2.35 	1.49 	0.67	6
2.63 	1.00 	0.67	7
2.92 	0.48 	0.67	8
3.23 	0.02 	0.67	9
0.52 	3.48 	1.42	1
0.98 	3.01 	1.42	2
1.34 	2.49 	1.42	3
1.67 	2.00 	1.42	4
2.05 	1.50 	1.42	5
2.37 	0.99 	1.42	6
2.68 	0.49 	1.42	7
2.99 	0.00 	1.42	8
0.51 	3.00 	2.02	1
0.99 	2.48 	2.02	2
1.41 	1.99 	2.02	3
1.75 	1.49 	2.02	4
2.08 	0.99 	2.02	5
2.43 	0.49 	2.02	6
2.75 	0.00 	2.02	7
0.70 	2.50 	2.31	1
1.19 	2.00 	2.31	2
1.62 	1.49 	2.31	3
1.93 	0.99 	2.31	4
2.31 	0.48 	2.31	5
2.68 	0.01 	2.31	6
0.41 	1.79 	"Hc2//c, P=0"	1
0.83 	1.60 	"Hc2//c, P=0"	2
1.10 	1.39 	"Hc2//c, P=0"	3
1.40 	1.19 	"Hc2//c, P=0"	4
1.66 	0.99 	"Hc2//c, P=0"	5
2.02 	0.79 	"Hc2//c, P=0"	6
2.31 	0.59 	"Hc2//c, P=0"	7
2.73 	0.38 	"Hc2//c, P=0"	8
3.04 	0.20 	"Hc2//c, P=0"	9
3.36 	0.03 	"Hc2//c, P=0"	10
