****			
FIGNO: MHC157579			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: Ni-content			
PUNIT: x  in ThCo1-xNixC2			
SAMPLE: ThCo1-xNixC2			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.19 	0.684 	0.1	1
2.48 	0.593 	0.1	2
2.78 	0.493 	0.1	3
3.07 	0.373 	0.1	4
3.36 	0.289 	0.1	5
3.65 	0.214 	0.1	6
3.94 	0.115 	0.1	7
4.13 	0.064 	0.1	8
4.28 	0.050 	0.1	9
4.32 	0.035 	0.1	10
0.70 	0.411 	0	1
0.95 	0.311 	0	2
1.26 	0.221 	0	3
1.42 	0.161 	0	4
1.66 	0.146 	0	5
1.87 	0.102 	0	6
2.02 	0.102 	0	7
2.22 	0.037 	0	8
2.35 	0.051 	0	9
2.46 	0.051 	0	10
2.66 	0.027 	0	11
