****			
FIGNO: MHC157720			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
SAMPLE: 1T-TiTe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.81 	7.03 	9.5	1
3.10 	5.90 	9.5	2
3.36 	5.00 	9.5	3
3.59 	4.01 	9.5	4
3.81 	3.06 	9.5	5
4.05 	1.96 	9.5	6
4.24 	1.46 	9.5	7
4.34 	0.95 	9.5	8
4.46 	0.83 	9.5	9
4.57 	0.44 	9.5	10
4.74 	0.18 	9.5	11
4.88 	0.04 	9.5	12
4.98 	0.06 	9.5	13
2.66 	2.64 	7.5	1
2.85 	2.01 	7.5	2
3.05 	1.41 	7.5	3
3.27 	0.96 	7.5	4
3.38 	0.76 	7.5	5
3.50 	0.45 	7.5	6
3.62 	0.26 	7.5	7
3.76 	0.01 	7.5	8
3.89 	0.00 	7.5	9
