****			
FIGNO: MHC157742			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
SAMPLE: PrTi2Al20			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.458 	2.937 	8.7	1
0.649 	2.496 	8.7	2
0.733 	1.998 	8.7	3
0.833 	1.507 	8.7	4
0.931 	0.985 	8.7	5
0.979 	0.588 	8.7	6
1.030 	0.296 	8.7	7
1.094 	0.000 	8.7	8
0.466 	0.853 	7.7	1
0.546 	0.796 	7.7	2
0.644 	0.605 	7.7	3
0.696 	0.409 	7.7	4
0.780 	0.202 	7.7	5
0.897 	0.003 	7.7	6
0.458 	0.048 	6.7	1
0.599 	0.005 	6.7	2
