****			
FIGNO: MHC157926			
XPROP: T			
XUNIT: K			
"YPROP: Hc1,  Hc2"			
YUNIT:  mT			
PPROP: 			
PUNIT: 			
SAMPLE: YPd2Ge2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.488 	5.61 	Hc1//a	1
0.600 	5.11 	Hc1//a	2
0.699 	4.32 	Hc1//a	3
0.799 	3.62 	Hc1//a	4
0.900 	2.72 	Hc1//a	5
0.947 	2.09 	Hc1//a	6
1.048 	1.09 	Hc1//a	7
0.004 	6.92 	fitting	1
1.146 	0.01 	fitting	2
0.457 	23.10 	Hc2//c	1
0.559 	20.61 	Hc2//c	2
0.627 	18.10 	Hc2//c	3
0.691 	15.94 	Hc2//c	4
0.751 	14.10 	Hc2//c	5
0.808 	12.26 	Hc2//c	6
0.868 	10.12 	Hc2//c	7
0.925 	7.58 	Hc2//c	8
0.983 	5.80 	Hc2//c	9
1.039 	3.51 	Hc2//c	10
1.095 	1.68 	Hc2//c	11
1.128 	0.03 	Hc2//c	12
1.140 	0.38 	Hc2//c	13
0.001 	32.57 	fitting	1
0.494 	14.40 	Hc2//a	1
0.510 	14.18 	Hc2//a	2
0.619 	12.09 	Hc2//a	3
0.718 	9.99 	Hc2//a	4
0.758 	8.99 	Hc2//a	5
0.814 	8.02 	Hc2//a	6
0.856 	6.81 	Hc2//a	7
0.897 	6.35 	Hc2//a	8
0.910 	6.13 	Hc2//a	9
0.939 	5.47 	Hc2//a	10
0.966 	4.35 	Hc2//a	11
0.986 	4.19 	Hc2//a	12
1.029 	2.85 	Hc2//a	13
1.039 	2.85 	Hc2//a	14
1.068 	2.24 	Hc2//a	15
1.092 	1.88 	Hc2//a	16
1.114 	0.88 	Hc2//a	17
1.137 	0.20 	Hc2//a	18
0.000 	20.19 	fitting	1
