****			
FIGNO: MHC158341			
XPROP: t = T/Tc			
XUNIT:  			
YPROP:  h = Hc2(T)/Hc2(0)			
YUNIT: 			
PPROP: Ru-content			
PUNIT: x  in Cr1-xRux			
SAMPLE:  Cr1-xRux			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.108 	0.852 	0.181	1
0.148 	0.834 	0.181	2
0.222 	0.762 	0.181	3
0.314 	0.671 	0.181	4
0.348 	0.644 	0.181	5
0.569 	0.428 	0.181	6
0.786 	0.213 	0.181	7
0.998 	0.000 	0.181	8
0.111 	0.810 	0.193	1
0.132 	0.803 	0.193	2
0.198 	0.754 	0.193	3
0.264 	0.700 	0.193	4
0.281 	0.691 	0.193	5
0.484 	0.522 	0.193	6
0.655 	0.347 	0.193	7
0.834 	0.175 	0.193	8
1.000 	0.000 	0.193	9
0.098 	0.783 	0.203	1
0.116 	0.781 	0.203	2
0.175 	0.751 	0.203	3
0.231 	0.707 	0.203	4
0.424 	0.568 	0.203	5
0.710 	0.285 	0.203	6
0.861 	0.139 	0.203	7
0.078 	0.791 	0.226	1
0.093 	0.787 	0.226	2
0.143 	0.773 	0.226	3
0.189 	0.743 	0.226	4
0.201 	0.737 	0.226	5
0.400 	0.583 	0.226	6
0.604 	0.387 	0.226	7
0.714 	0.291 	0.226	8
0.805 	0.193 	0.226	9
0.913 	0.098 	0.226	10
1.000 	0.000 	0.226	11
