---------			
FIGNO:MHC40781			
XPROP:T/Tc			
XUNIT:			
YPROP:Hc2			
YUNIT:Oe			
"PPROP:1,2  H//c,  3,4  H//a"			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.816	23.79	1	1
0.824	21.7	1	2
0.835	21.25	1	3
0.854	18.4	1	4
0.869	17.36	1	5
0.884	15.26	1	6
0.899	13.77	1	7
0.929	8.83	1	8
0.637	45.94	2	1
0.693	37.11	2	2
0.745	32.77	2	3
0.794	26.33	2	4
0.854	17.51	2	5
0.929	7.93	2	6
0.974	4.94	2	7
1	0.3	2	8
0.812	708.33	3	1
0.853	628.79	3	2
0.865	560.61	3	3
0.887	492.42	3	4
0.902	446.97	3	5
0.914	382.58	3	6
0.929	367.42	3	7
0.643	1401.52	4	1
0.699	1193.18	4	2
0.737	992.42	4	3
0.797	825.76	4	4
0.865	530.3	4	5
0.932	344.7	4	6
0.977	181.82	4	7
0.992	0	4	8
