---------			
FIGNO:MHC40842			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
1.6	19.97	1	1
1.9	19.78	1	2
2.1	19.64	1	3
2.6	19.3	1	4
3	18.82	1	5
3.4	18.62	1	6
3.7	18.29	1	7
4.2	18.04	1	8
5	17.46	1	9
5.5	17.08	1	10
6	16.64	1	11
6.5	16.11	1	12
7	15.49	1	13
7.5	14.57	1	14
8.1	14.09	1	15
8.6	13.46	1	16
9.2	12.69	1	17
9.8	12.06	1	18
10.3	11.19	1	19
10.9	10.37	1	20
11.5	9.6	1	21
12.1	8.78	1	22
12.7	7.82	1	23
13.3	7.09	1	24
14	6.27	1	25
14.5	5.36	1	26
15.1	4.63	1	27
15.7	3.81	1	28
15.9	3.23	1	29
16.2	2.99	1	30
16.5	2.46	1	31
16.8	2.12	1	32
17.1	1.64	1	33
17.2	1.5	1	34
17.8	0.72	1	35
