---------			
FIGNO:MHC42110			
XPROP:T			
XUNIT:K			
YPROP:Hc			
YUNIT:Oe			
PPROP:P			
PUNIT:kbar			
---------			
xdata	ydata	pdata	number
0.9	54.35	0	1
0.97468	53.44	0	2
1.0392	52.98	0	3
1.7635	41.68	0	4
1.8	40.61	0	5
1.9209	38.47	0	6
2.0567	35.57	0	7
2.1633	33.13	0	8
2.6	21.68	0	9
2.6344	20.46	0	10
2.7019	18.47	0	11
2.7749	16.95	0	12
2.7911	16.03	0	13
2.832	14.66	0	14
2.8862	13.13	0	15
3.0676	8.55	0	16
3.0903	7.79	0	17
3.2326	3.82	0	18
3.2741	2.6	0	19
3.3556	0.15	0	20
0.8775	41.22	20.4	1
0.94868	40.46	20.4	2
1.063	39.39	20.4	3
1.1045	38.02	20.4	4
1.3928	32.98	20.4	5
1.5748	29.16	20.4	6
1.6852	25.95	20.4	7
1.7378	24.73	20.4	8
1.7889	23.36	20.4	9
1.8138	22.6	20.4	10
1.8628	21.98	20.4	11
1.8868	20.92	20.4	12
1.957	18.32	20.4	13
2.0125	17.4	20.4	14
2.1213	13.44	20.4	15
2.184	12.67	20.4	16
2.184	11.6	20.4	17
2.2249	10.08	20.4	18
2.2956	8.24	20.4	19
2.3152	7.02	20.4	20
