---------			
FIGNO:MHC50013			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:kG			
PPROP:Al-comp.			
PUNIT:x  in La1-xAlx			
---------			
xdata	ydata	pdata	number
2.57	29.94	0.27	1
2.64	27.98	0.27	2
2.73	26.11	0.27	3
2.84	23.17	0.27	4
2.96	20.12	0.27	5
3.08	17.18	0.27	6
3.21	14.13	0.27	7
3.33	10.99	0.27	8
3.46	7.95	0.27	9
3.53	5.89	0.27	10
3.67	2.94	0.27	11
3.8	0	0.27	12
2.08	30.04	0.32	1
2.2	26.99	0.32	2
2.35	23.07	0.32	3
2.46	20.12	0.32	4
2.57	16.98	0.32	5
2.7	14.04	0.32	6
2.81	11.09	0.32	7
2.92	7.85	0.32	8
3.07	3.93	0.32	9
3.21	0	0.32	10
