---------			
FIGNO:MHC90123			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
PPROP:Al-content x in Mg1-xAlxB2			
PUNIT:			

---------			
xdata	ydata	pdata	number
5.9	14.94	0	1
8.5	14	0	2
10.6	12.98	0	3
11.1	12.82	0	4
13.2	11.73	0	5
14.2	11.41	0	6
15.9	10.53	0	7
17.5	9.81	0	8
18.9	9.03	0	9
19.9	8.66	0	10
21.1	7.99	0	11
22.7	7	0	12
24.5	5.98	0	13
26.5	5	0	14
28.7	4.03	0	15
30.4	2.99	0	16
32.6	1.98	0	17
35.3	0.96	0	18
36.2	0.67	0	19
36.9	0.51	0	20
38.1	0.21	0	21
38.8	0.13	0	22
9.9	9	0.07	1
12.4	7.99	0.07	2
15	7	0.07	3
17.3	5.96	0.07	4
19.6	5	0.07	5
21.9	3.98	0.07	6
24.5	3.02	0.07	7
27.4	2	0.07	8
30.8	1.02	0.07	9
32.1	0.72	0.07	10
33.9	0.21	0.07	11
9.4	7	0.15	1
12	5.96	0.15	2
15.4	5	0.15	3
17.7	3.98	0.15	4
20.7	2.97	0.15	5
24.2	1.95	0.15	6
28.1	0.99	0.15	7
29.7	0.67	0.15	8
30.5	0.48	0.15	9
32.2	0.16	0.15	10
