****			
****			
FIGNO: MLAT158160			
XPROP: P			
XUNIT: GPa			
"YPROP: lat-a, lat-c"			
YUNIT: A			
PPROP: 			
PUNIT: 			
SAMPLE: RbEuFe4As4			
****			
XDATA	YDATA	PDATA	NUMBER
0.23 	3.8891 	lat-a	1
0.17 	3.8829 	lat-a	2
0.67 	3.8760 	lat-a	3
1.16 	3.8680 	lat-a	4
1.78 	3.8579 	lat-a	5
2.66 	3.8460 	lat-a	6
3.11 	3.8381 	lat-a	7
3.42 	3.8344 	lat-a	8
3.72 	3.8296 	lat-a	9
4.14 	3.8234 	lat-a	10
4.75 	3.8176 	lat-a	11
5.05 	3.8146 	lat-a	12
5.80 	3.8053 	lat-a	13
6.28 	3.8018 	lat-a	14
6.81 	3.7962 	lat-a	15
7.54 	3.7913 	lat-a	16
7.94 	3.7888 	lat-a	17
8.47 	3.7862 	lat-a	18
9.81 	3.7820 	lat-a	19
11.68 	3.7890 	lat-a	20
13.17 	3.7950 	lat-a	21
14.09 	3.7980 	lat-a	22
15.75 	3.8081 	lat-a	23
19.44 	3.8000 	lat-a	24
20.43 	3.7939 	lat-a	25
22.37 	3.8092 	lat-a	26
23.46 	3.8138 	lat-a	27
25.04 	3.8226 	lat-a	28
27.82 	3.8198 	lat-a	29
29.66 	3.8146 	lat-a	30
0.23 	13.3213 	lat-c	1
0.53 	13.2821 	lat-c	2
0.92 	13.2173 	lat-c	3
1.07 	13.1810 	lat-c	4
1.76 	13.0947 	lat-c	5
2.66 	12.9856 	lat-c	6
3.19 	12.9233 	lat-c	7
3.69 	12.8721 	lat-c	8
4.19 	12.7932 	lat-c	9
4.64 	12.7441 	lat-c	10
5.02 	12.7057 	lat-c	11
5.97 	12.6260 	lat-c	12
6.37 	12.5781 	lat-c	13
6.83 	12.5294 	lat-c	14
7.52 	12.4423 	lat-c	15
7.95 	12.4221 	lat-c	16
8.48 	12.3502 	lat-c	17
9.84 	12.1863 	lat-c	18
11.74 	11.8234 	lat-c	19
13.33 	11.6557 	lat-c	20
14.13 	11.5380 	lat-c	21
15.67 	11.2804 	lat-c	22
19.41 	10.9761 	lat-c	23
20.53 	10.8882 	lat-c	24
22.28 	10.8778 	lat-c	25
23.46 	10.5550 	lat-c	26
24.97 	10.3485 	lat-c	27
27.74 	10.1738 	lat-c	28
29.69 	10.1235 	lat-c	29
