---------			
FIGNO:MHC12061			
XPROP:Hc2			
XUNIT:T			
YPROP:T			
YUNIT:K			
PPROP:x in CeCoIn5-xSnx			
PUNIT:			

---------			
xdata	ydata	pdata	number
1.99	1.959	0	1
3	1.726	0	2
4.01	1.315	0	3
4.51	0.986	0	4
4.61	0.877	0	5
4.7	0.712	0	6
4.78	0.616	0	7
4.8	0.548	0	8
4.9	0.315	0	9
0	1.858	0.03	1
1	1.803	0.03	2
2.65	1.431	0.03	3
3.01	1.362	0.03	4
4.02	0.798	0.03	5
4.18	0.564	0.03	6
4.47	0.055	0.03	7
0	1.569	0.06	1
1	1.486	0.06	2
2.01	1.28	0.06	3
3.01	0.977	0.06	4
3.51	0.716	0.06	5
3.71	0.523	0.06	6
3.8	0.344	0.06	7
0	0.931	0.12	1
1.01	0.833	0.12	2
1.99	0.681	0.12	3
2.54	0.056	0.12	4
