---------			
FIGNO:MPH11329			
XPROP:P			
XUNIT:GPa			
"YPROP:Tc, Tn"			
YUNIT:K			
"PPROP:1 for Tc, 2 for Tn(by R) 3 for Tn (by M)"			
PUNIT:			

---------			
xdata	ydata	pdata	number
1.09	0.37	1	1
1.24	0.51	1	2
1.4	0.8	1	3
1.54	0.95	1	4
1.63	1.12	1	5
1.88	1.73	1	6
2	1.78	1	7
2.16	1.99	1	8
2.31	1.99	1	9
2.31	1.9	1	10
2.53	1.99	1	11
2.66	1.74	1	12
2.88	1.78	1	13
0.01	2.51	2	1
0.03	2.45	2	2
0.36	2.16	2	3
0.57	1.93	2	4
0.69	1.86	2	5
0.88	1.69	2	6
1.1	1.64	2	7
1.23	1.53	2	8
1.4	1.55	2	9
1.55	1.24	2	10
0.02	2.79	3	1
0.28	2.6	3	2
0.5	2.34	3	3
