****			
FIGNO: MPH153553			
XPROP: Ru-content			
XUNIT: x  in BaFe2-xRuxAs2			
"YPROP: Tn, Tc"			
YUNIT: K			
"PPROP: 1 Tn-R, 2 Tn-SUS,  3 Tc-R, 4 Tc-SUS"			
PUNIT: 			
sample: BaFe2-xRuxAs2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.132 	110.59 	1	1
0.226 	88.01 	1	2
0.320 	74.62 	1	3
0.438 	44.01 	1	4
0.452 	37.88 	1	5
0.134 	120.15 	2	1
0.312 	82.27 	2	2
0.440 	61.22 	2	3
0.484 	40.18 	2	4
0.438 	10.33 	3	1
0.450 	12.24 	3	2
0.482 	13.39 	3	3
0.585 	14.54 	3	4
0.627 	14.54 	3	5
0.655 	19.13 	3	6
0.693 	14.92 	3	7
0.769 	12.24 	3	8
0.799 	9.95 	3	9
0.831 	7.65 	3	10
0.454 	8.42 	4	1
0.484 	10.71 	4	2
0.607 	12.63 	4	3
0.629 	13.78 	4	4
0.663 	12.63 	4	5
0.693 	12.24 	4	6
0.769 	8.42 	4	7
0.795 	4.97 	4	8
