****			
FIGNO: MPH155201			
XPROP: P			
XUNIT: kbar			
YPROP: Tc			
YUNIT: K			
PPROP: 			
PUNIT: 			
sample: Ta4Pd3Te16			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.04 	4.22 	1	1
1.54 	5.82 	1	2
2.09 	6.35 	1	3
2.56 	6.67 	1	4
3.10 	6.70 	1	5
3.63 	6.68 	1	6
4.19 	6.56 	1	7
4.61 	6.49 	1	8
5.20 	6.35 	1	9
5.74 	6.19 	1	10
6.34 	6.05 	1	11
6.85 	5.92 	1	12
8.01 	5.51 	1	13
9.10 	5.14 	1	14
10.00 	4.84 	1	15
11.66 	4.33 	1	16
13.16 	3.82 	1	17
16.10 	2.92 	1	18
19.31 	2.24 	1	19
21.84 	1.88 	1	20
