****			
FIGNO:MRH150640			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-10 m3/C			
PPROP:H			
PUNIT:T			

****			
xdata	ydata	pdata	number
5.95 	-3.50 	9	1
8.20 	-2.92 	9	2
9.34 	-2.86 	9	3
10.55 	-2.71 	9	4
11.74 	-2.52 	9	5
12.86 	-2.38 	9	6
14.09 	-2.30 	9	7
15.09 	-2.16 	9	8
16.41 	-2.02 	9	9
17.58 	-1.88 	9	10
18.69 	-1.74 	9	11
19.86 	-1.66 	9	12
21.11 	-1.50 	9	13
22.27 	-1.41 	9	14
24.03 	-1.34 	9	15
24.97 	-1.26 	9	16
26.33 	-1.14 	9	17
27.36 	-1.08 	9	18
28.64 	-0.99 	9	19
29.75 	-0.92 	9	20
30.44 	-0.93 	9	21
31.86 	-0.90 	9	22
33.10 	-0.88 	9	23
34.13 	-0.84 	9	24
35.45 	-0.82 	9	25
36.83 	-0.78 	9	26
38.26 	-0.74 	9	27
39.75 	-0.72 	9	28
41.29 	-0.70 	9	29
42.25 	-0.66 	9	30
43.56 	-0.62 	9	31
44.91 	-0.60 	9	32
46.65 	-0.58 	9	33
48.84 	-0.57 	9	34
50.73 	-0.61 	9	35
52.31 	-0.66 	9	36
53.92 	-0.71 	9	37
55.17 	-0.76 	9	38
56.45 	-0.80 	9	39
57.76 	-0.83 	9	40
59.09 	-0.87 	9	41
60.00 	-0.89 	9	42
61.86 	-0.90 	9	43
63.77 	-0.92 	9	44
66.25 	-0.96 	9	45
68.83 	-1.01 	9	46
70.42 	-1.07 	9	47
72.60 	-1.13 	9	48
73.71 	-1.20 	9	49
75.42 	-1.27 	9	50
76.58 	-1.33 	9	51
77.16 	-1.38 	9	52
78.35 	-1.43 	9	53
79.55 	-1.46 	9	54
82.65 	-1.43 	9	55
