****			
FIGNO: MRH152161			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: E-10 m3/C			
PPROP: 			
PUNIT:			
SAMPLE: BaFe1.25Ru0.75As2 			
****			

XDATA	YDATA	PDATA	NUMBER
14.1 	0.115 	1	1
19.3 	-0.330 	1	2
23.5 	-1.549 	1	3
29.6 	-1.582 	1	4
40.0 	-1.615 	1	5
50.8 	-1.676 	1	6
71.5 	-1.714 	1	7
91.2 	-1.725 	1	8
111.4 	-1.714 	1	9
131.7 	-1.714 	1	10
153.8 	-1.698 	1	11
173.5 	-1.698 	1	12
195.1 	-1.687 	1	13
217.2 	-1.676 	1	14
237.0 	-1.659 	1	15
256.3 	-1.632 	1	16
277.9 	-1.665 	1	17
306.1 	-1.670 	1	18
