****			
FIGNO: MRH153340			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: E-10 m3/C			
PPROP: 			
PUNIT:			
SAMPLE: Ce2CoIn8			
****			

XDATA	YDATA	PDATA	NUMBER
1.67 	-8.40 	1	1
3.89 	-8.32 	1	2
5.56 	-8.21 	1	3
7.78 	-8.01 	1	4
10.00 	-7.46 	1	5
12.22 	-6.99 	1	6
13.9 	-6.63 	1	7
16.1 	-5.85 	1	8
18.3 	-5.27 	1	9
20.0 	-5.05 	1	10
21.1 	-4.80 	1	11
24.4 	-4.46 	1	12
30.0 	-3.83 	1	13
34.4 	-3.55 	1	14
39.4 	-3.30 	1	15
45.0 	-3.16 	1	16
50.0 	-3.16 	1	17
59.4 	-3.22 	1	18
69.4 	-3.41 	1	19
77.2 	-3.35 	1	20
83.3 	-3.52 	1	21
91.1 	-3.69 	1	22
100.6 	-3.69 	1	23
109.4 	-3.72 	1	24
119.4 	-3.80 	1	25
128.9 	-3.85 	1	26
139.4 	-3.91 	1	27
150.0 	-3.91 	1	28
160.0 	-3.96 	1	29
170.0 	-3.91 	1	30
179.4 	-3.94 	1	31
190.0 	-3.94 	1	32
200.0 	-3.96 	1	33
210.0 	-3.94 	1	34
220.0 	-3.96 	1	35
230.0 	-3.91 	1	36
239.4 	-3.94 	1	37
250.0 	-3.94 	1	38
260.6 	-3.94 	1	39
269.4 	-3.96 	1	40
280.0 	-3.96 	1	41
289.4 	-3.94 	1	42
300.0 	-3.99 	1	43
