****			
FIGNO: MRH153714			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: - E-3 cm3/C			
PPROP: 			
PUNIT: 			
sample: Ca10(Pt3As8)((Fe0.9019Pt0.0981)2As2)5			
****			
			
XDATA	YDATA	PDATA	NUMBER
30.0 	-3.90 	1	1
39.7 	-3.77 	1	2
50.2 	-3.67 	1	3
60.3 	-3.50 	1	4
70.5 	-3.44 	1	5
80.6 	-3.34 	1	6
90.3 	-3.27 	1	7
99.6 	-3.20 	1	8
109.7 	-3.14 	1	9
119.8 	-3.04 	1	10
129.5 	-2.97 	1	11
140.1 	-2.94 	1	12
149.8 	-2.91 	1	13
160.3 	-2.87 	1	14
169.6 	-2.78 	1	15
180.2 	-2.74 	1	16
189.9 	-2.68 	1	17
209.7 	-2.54 	1	18
230.0 	-2.44 	1	19
249.8 	-2.25 	1	20
269.6 	-2.11 	1	21
289.9 	-2.02 	1	22
