****			
FIGNO: MRH154469			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: E-9 m3/C			
PPROP: 			
PUNIT: 			
sample: Pr0.8Sr0.2Fe0.94Zn0.06AsO			
****			
			
XDATA	YDATA	PDATA	NUMBER
5.0 	-0.075 	1	1
8.5 	1.686 	1	2
11.6 	4.414 	1	3
13.8 	4.815 	1	4
16.9 	4.850 	1	5
19.7 	4.981 	1	6
30.0 	5.359 	1	7
40.0 	5.918 	1	8
50.0 	6.443 	1	9
59.6 	6.919 	1	10
69.6 	7.170 	1	11
79.7 	7.470 	1	12
89.3 	7.481 	1	13
100.0 	7.387 	1	14
110.5 	7.217 	1	15
120.3 	6.375 	1	16
129.8 	4.987 	1	17
139.8 	3.695 	1	18
149.1 	2.908 	1	19
160.2 	2.230 	1	20
169.8 	1.749 	1	21
179.6 	1.327 	1	22
190.6 	0.897 	1	23
199.5 	0.669 	1	24
209.9 	0.452 	1	25
219.6 	0.280 	1	26
230.1 	0.053 	1	27
239.8 	0.027 	1	28
249.7 	-0.071 	1	29
259.5 	-0.121 	1	30
269.9 	-0.183 	1	31
279.2 	-0.232 	1	32
290.0 	-0.292 	1	33
299.6 	-0.363 	1	34
