****			
FIGNO: MRH154749			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: E-3 cm3/C			
PPROP: M			
PUNIT: 			
sample: Fe0.95M0.05Se0.3Te0.7			
****			
			
XDATA	YDATA	PDATA	NUMBER
15.4 	1.715 	Ni	1
30.6 	0.471 	Ni	2
45.6 	0.155 	Ni	3
60.6 	0.074 	Ni	4
75.0 	0.354 	Ni	5
89.9 	0.322 	Ni	6
105.4 	0.315 	Ni	7
119.9 	0.593 	Ni	8
136.0 	0.593 	Ni	9
150.5 	0.590 	Ni	10
165.2 	0.781 	Ni	11
179.2 	0.778 	Ni	12
195.5 	0.873 	Ni	13
210.2 	1.017 	Ni	14
225.7 	0.984 	Ni	15
239.4 	1.091 	Ni	16
255.4 	0.963 	Ni	17
269.4 	0.942 	Ni	18
284.6 	1.010 	Ni	19
15.2 	17.135 	Zn	1
30.2 	8.622 	Zn	2
45.7 	5.576 	Zn	3
60.3 	4.194 	Zn	4
74.6 	3.293 	Zn	5
90.3 	2.720 	Zn	6
105.3 	2.332 	Zn	7
120.9 	2.261 	Zn	8
136.0 	1.965 	Zn	9
151.0 	1.894 	Zn	10
165.5 	1.846 	Zn	11
180.1 	1.688 	Zn	12
195.1 	1.760 	Zn	13
210.4 	1.658 	Zn	14
225.3 	1.658 	Zn	15
239.8 	1.652 	Zn	16
254.8 	1.649 	Zn	17
271.0 	1.580 	Zn	18
285.3 	1.443 	Zn	19
