****			
FIGNO: MRH157461			
XPROP: T			
XUNIT: K			
YPROP: - RH			
YUNIT: E-3 cm/C			
PPROP: dose			
PUNIT:  C/cm2			
SAMPLE:  BaFe2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
30.5 	75.60 	8.6	1
34.9 	70.36 	8.6	2
40.1 	66.18 	8.6	3
45.3 	61.65 	8.6	4
50.3 	57.97 	8.6	5
55.6 	52.92 	8.6	6
60.9 	48.41 	8.6	7
66.5 	43.86 	8.6	8
72.4 	39.53 	8.6	9
77.5 	36.07 	8.6	10
82.2 	32.69 	8.6	11
86.0 	30.14 	8.6	12
90.5 	27.60 	8.6	13
94.9 	25.04 	8.6	14
99.2 	22.75 	8.6	15
103.8 	20.45 	8.6	16
108.5 	17.59 	8.6	17
112.1 	15.85 	8.6	18
114.7 	13.88 	8.6	19
116.7 	12.41 	8.6	20
117.6 	11.32 	8.6	21
118.1 	10.24 	8.6	22
118.6 	9.17 	8.6	23
119.1 	8.16 	8.6	24
119.6 	7.58 	8.6	25
120.1 	6.94 	8.6	26
120.4 	6.31 	8.6	27
121.9 	5.89 	8.6	28
123.2 	5.62 	8.6	29
124.4 	5.51 	8.6	30
126.1 	5.38 	8.6	31
128.1 	5.13 	8.6	32
129.6 	5.06 	8.6	33
130.8 	5.06 	8.6	34
132.0 	5.11 	8.6	35
133.2 	5.06 	8.6	36
134.3 	4.92 	8.6	37
134.8 	4.64 	8.6	38
44.6 	61.73 	0	1
47.6 	57.48 	0	2
51.1 	54.14 	0	3
53.0 	52.16 	0	4
55.2 	49.46 	0	5
57.6 	46.69 	0	6
60.5 	43.92 	0	7
63.1 	41.47 	0	8
66.8 	38.78 	0	9
69.4 	36.95 	0	10
71.8 	34.28 	0	11
74.2 	32.67 	0	12
76.9 	30.32 	0	13
79.8 	29.08 	0	14
82.0 	27.72 	0	15
84.8 	25.81 	0	16
87.3 	24.78 	0	17
90.4 	23.23 	0	18
93.2 	21.83 	0	19
96.3 	20.41 	0	20
99.5 	19.06 	0	21
104.1 	18.12 	0	22
107.7 	16.93 	0	23
111.1 	16.25 	0	24
113.8 	15.49 	0	25
117.3 	15.39 	0	26
120.6 	15.27 	0	27
123.9 	15.57 	0	28
126.2 	14.71 	0	29
128.1 	14.41 	0	30
130.5 	13.10 	0	31
132.0 	12.85 	0	32
133.2 	11.26 	0	33
134.4 	7.14 	0	34
135.6 	4.74 	0	35
138.2 	4.02 	0	36
139.4 	4.50 	0	37
141.0 	4.91 	0	38
142.7 	5.41 	0	39
144.3 	3.46 	0	40
146.1 	4.20 	0	41
147.6 	4.53 	0	42
149.5 	4.06 	0	43
