****			
FIGNO: MRH157524			
XPROP: T			
XUNIT: K			
YPROP: Rh			
YUNIT:  E-3 cm3/C			
PPROP:  P-content			
PUNIT:  x  in CaFe2(As1-xPx)2			
SAMPLE: CaFe2(As1-xPx)2			
****			
			
XDATA	YDATA	PDATA	NUMBER
14.41 	-6.47 	0.03	1
19.70 	-6.23 	0.03	2
30.14 	-5.78 	0.03	3
40.20 	-5.21 	0.03	4
50.61 	-4.53 	0.03	5
59.71 	-3.93 	0.03	6
69.91 	-3.28 	0.03	7
80.61 	-2.71 	0.03	8
90.24 	-2.10 	0.03	9
99.87 	-1.58 	0.03	10
110.09 	-1.16 	0.03	11
119.77 	-0.94 	0.03	12
129.97 	-0.84 	0.03	13
149.75 	-0.72 	0.03	14
160.21 	-0.69 	0.03	15
170.17 	-0.75 	0.03	16
180.54 	-0.74 	0.03	17
199.98 	-0.67 	0.03	18
9.75 	-0.63 	0.055	1
20.38 	-0.62 	0.055	2
30.01 	-0.64 	0.055	3
39.90 	-0.61 	0.055	4
49.69 	-0.64 	0.055	5
59.51 	-0.60 	0.055	6
70.04 	-0.70 	0.055	7
79.58 	-1.22 	0.055	8
90.99 	-1.11 	0.055	9
99.57 	-1.02 	0.055	10
128.79 	-0.80 	0.055	11
153.19 	-0.72 	0.055	12
