****			
FIGNO: MRH158421			
XPROP: P			
XUNIT:  GPa			
YPROP: RH			
YUNIT: cm3/C			
PPROP: T			
PUNIT: K			
SAMPLE:  TaIrTe4			
****			
			
XDATA	YDATA	PDATA	NUMBER
1.59 	0.0264 	10	1
3.52 	0.0280 	10	2
5.15 	0.0276 	10	3
6.80 	0.0286 	10	4
8.33 	0.0291 	10	5
10.54 	0.0309 	10	6
12.43 	0.0325 	10	7
14.42 	0.0375 	10	8
16.16 	0.0443 	10	9
17.91 	0.0506 	10	10
20.20 	0.0531 	10	11
21.63 	0.0513 	10	12
23.53 	0.0432 	10	13
25.71 	0.0332 	10	14
26.63 	0.0278 	10	15
28.28 	0.0246 	10	16
31.37 	0.0170 	10	17
32.75 	0.0121 	10	18
35.64 	0.0071 	10	19
39.54 	0.0028 	10	20
42.99 	0.0006 	10	21
44.85 	0.0000 	10	22
46.30 	0.0000 	10	23
49.77 	0.0000 	10	24
