---------			
FIGNO:MSP11536			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mJ/mol.K2			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.51	5.36	1	1
1.03	6.43	1	2
1.29	8.04	1	3
2.06	9.11	1	4
2.31	10.45	1	5
2.83	12.32	1	6
3.6	14.73	1	7
4.37	16.61	1	8
5.4	19.55	1	9
6.17	22.23	1	10
6.94	25.18	1	11
8.23	27.86	1	12
9.51	31.88	1	13
10.03	32.41	1	14
10.54	34.02	1	15
11.05	35.89	1	16
12.08	37.5	1	17
12.6	40.71	1	18
13.37	42.05	1	19
14.14	43.39	1	20
14.91	44.2	1	21
15.68	45	1	22
16.45	47.41	1	23
17.22	49.29	1	24
17.99	50.62	1	25
19.02	52.5	1	26
19.54	53.84	1	27
20.57	55.71	1	28
21.59	57.59	1	29
22.62	58.12	1	30
23.39	60.27	1	31
24.68	62.68	1	32
25.45	64.29	1	33
26.48	64.82	1	34
27.76	66.7	1	35
28.53	68.04	1	36
29.82	70.18	1	37
30.59	71.25	1	38
31.62	72.32	1	39
33.16	73.39	1	40
33.93	74.73	1	41
35.22	76.34	1	42
36.5	76.61	1	43
37.53	77.95	1	44
39.07	78.21	1	45
40.62	78.21	1	46
41.65	77.95	1	47
42.93	76.88	1	48
44.22	74.46	1	49
45.5	69.64	1	50
46.79	62.68	1	51
46.79	62.68	1	52
48.84	59.2	1	53
49.87	60	1	54
51.16	61.07	1	55
52.44	61.61	1	56
53.98	61.88	1	57
55.78	62.95	1	58
57.07	64.02	1	59
58.61	64.82	1	60
59.9	65.09	1	61
61.7	66.7	1	62
63.75	67.23	1	63
65.04	68.04	1	64
73.26	73.12	1	65
76.61	75	1	66
78.92	76.07	1	67
82.26	77.68	1	68
85.09	79.29	1	69
88.17	81.16	1	70
91.52	83.04	1	71
94.86	84.64	1	72
97.94	86.25	1	73
101.54	88.12	1	74
