---------			
FIGNO:MSP150171			
XPROP:T			
XUNIT:K			
YPROP:C			
YUNIT:mJ/mol.K			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.147	0.2	1	1
0.204	0.35	1	2
0.253	0.55	1	3
0.306	1	1	4
0.355	1.65	1	5
0.404	2.4	1	6
0.461	3.4	1	7
0.51	4.5	1	8
0.55	5.6	1	9
0.607	6.85	1	10
0.66	8.15	1	11
0.709	9.45	1	12
0.762	10.9	1	13
0.811	12.45	1	14
0.844	13.2	1	15
0.856	13.1	1	16
0.868	11	1	17
0.876	7.2	1	18
0.893	6.3	1	19
0.913	6.35	1	20
0.966	6.7	1	21
1.011	6.95	1	22
1.064	7.5	1	23
1.117	7.8	1	24
1.162	8.25	1	25
1.211	8.65	1	26
1.268	8.9	1	27
1.317	9.35	1	28
1.374	9.55	1	29
1.418	10.15	1	30
1.471	10.45	1	31
