****			
FIGNO:MSP150581			
XPROP:T			
XUNIT:K			
YPROP:C			
YUNIT:J/mol.K			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
0.505 	0.00068 	1	1
0.613 	0.00228 	1	2
0.715 	0.00411 	1	3
0.830 	0.00730 	1	4
0.932 	0.01027 	1	5
1.040 	0.01414 	1	6
1.148 	0.01825 	1	7
1.251 	0.02259 	1	8
1.359 	0.02760 	1	9
1.461 	0.03285 	1	10
1.576 	0.03741 	1	11
1.678 	0.04266 	1	12
1.780 	0.04814 	1	13
1.895 	0.03468 	1	14
1.997 	0.02783 	1	15
2.099 	0.02966 	1	16
2.147 	0.03034 	1	17
2.207 	0.03194 	1	18
2.262 	0.03171 	1	19
2.316 	0.03422 	1	20
2.382 	0.03468 	1	21
2.424 	0.03696 	1	22
