****			
FIGNO:MSP150583			
XPROP:T			
XUNIT:K			
YPROP:C/T			
YUNIT:mJ/mol.K2			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
0.614 	160.8 	1	1
0.619 	161.8 	1	2
0.638 	159.8 	1	3
0.646 	161.1 	1	4
0.677 	160.6 	1	5
0.685 	159.5 	1	6
0.704 	160.8 	1	7
0.717 	161.3 	1	8
0.729 	160.8 	1	9
0.734 	162.3 	1	10
0.754 	161.8 	1	11
0.769 	162.8 	1	12
0.790 	162.8 	1	13
0.797 	164.1 	1	14
0.815 	164.1 	1	15
0.844 	164.6 	1	16
0.861 	165.3 	1	17
0.885 	166.3 	1	18
0.895 	166.3 	1	19
0.931 	167.1 	1	20
0.967 	168.6 	1	21
0.979 	169.3 	1	22
1.017 	171.1 	1	23
1.033 	170.4 	1	24
1.050 	171.4 	1	25
1.100 	173.1 	1	26
1.121 	172.6 	1	27
1.157 	173.1 	1	28
1.175 	172.1 	1	29
1.207 	171.9 	1	30
1.235 	171.6 	1	31
1.260 	171.4 	1	32
1.284 	170.4 	1	33
1.330 	171.1 	1	34
1.367 	168.8 	1	35
1.383 	170.9 	1	36
1.394 	169.6 	1	37
1.432 	167.1 	1	38
1.454 	166.3 	1	39
1.494 	167.6 	1	40
1.530 	167.8 	1	41
1.566 	165.3 	1	42
1.615 	166.8 	1	43
1.634 	164.1 	1	44
1.660 	164.6 	1	45
1.692 	165.6 	1	46
1.725 	164.1 	1	47
1.746 	162.3 	1	48
1.773 	163.6 	1	49
1.808 	161.3 	1	50
1.865 	162.1 	1	51
1.916 	159.3 	1	52
1.946 	159.5 	1	53
1.977 	157.3 	1	54
2.015 	157.8 	1	55
2.047 	159.0 	1	56
2.095 	156.3 	1	57
2.153 	154.5 	1	58
2.505 	148.7 	1	59
2.564 	147.7 	1	60
2.614 	147.0 	1	61
2.676 	146.0 	1	62
2.707 	145.5 	1	63
2.749 	144.5 	1	64
2.814 	144.0 	1	65
2.858 	143.2 	1	66
2.926 	142.0 	1	67
2.995 	141.0 	1	68
3.053 	139.7 	1	69
3.113 	139.2 	1	70
3.150 	138.7 	1	71
3.300 	135.9 	1	72
3.391 	134.9 	1	73
3.457 	133.7 	1	74
3.525 	132.9 	1	75
3.594 	131.7 	1	76
3.665 	130.9 	1	77
3.722 	130.2 	1	78
3.795 	129.1 	1	79
3.840 	128.6 	1	80
3.900 	127.6 	1	81
3.976 	126.6 	1	82
4.054 	126.1 	1	83
4.118 	125.6 	1	84
4.182 	124.6 	1	85
4.248 	123.9 	1	86
4.331 	123.1 	1	87
4.416 	122.6 	1	88
4.485 	121.9 	1	89
4.591 	120.9 	1	90
4.681 	120.1 	1	91
4.754 	119.6 	1	92
4.828 	118.8 	1	93
4.923 	118.3 	1	94
5.039 	117.8 	1	95
5.138 	117.3 	1	96
5.218 	116.8 	1	97
5.279 	115.8 	1	98
5.383 	115.6 	1	99
5.467 	115.6 	1	100
