****			
FIGNO:MSP150859			
XPROP:T			
XUNIT:K			
YPROP:Cp			
YUNIT:mJ/mol.K			
PPROP:H			
PUNIT:Oe			

****			
xdata	ydata	pdata	number
0.458937	0.0900662	0	1
0.507246	0.11479	0	2
0.555556	0.135982	0	3
0.603865	0.15894	0	4
0.657005	0.18543	0	5
0.700483	0.222517	0	6
0.753623	0.257837	0	7
0.801932	0.291391	0	8
0.845411	0.324945	0	9
0.898551	0.363797	0	10
0.94686	0.409713	0	11
0.995169	0.452097	0	12
1.04348	0.499779	0	13
1.09662	0.540397	0	14
1.14493	0.584547	0	15
1.19324	0.611038	0	16
1.23671	0.61457	0	17
1.28986	0.596909	0	18
1.343	0.579249	0	19
1.3913	0.565121	0	20
1.43478	0.547461	0	21
1.48792	0.528035	0	22
1.53623	0.528035	0	23
1.58937	0.542163	0	24
1.64251	0.561589	0	25
1.68116	0.584547	0	26
1.7343	0.603974	0	27
1.77778	0.630464	0	28
1.83092	0.653422	0	29
1.87923	0.679912	0	30
1.93237	0.704636	0	31
1.97585	0.732892	0	32
2.02899	0.757616	0	33
0.36715	0.104194	200	1
0.410628	0.120088	200	2
0.652174	0.197793	200	3
0.695652	0.217219	200	4
0.748792	0.229581	200	5
0.801932	0.241943	200	6
0.845411	0.257837	200	7
0.898551	0.271965	200	8
0.94686	0.294923	200	9
0.990338	0.309051	200	10
1.04831	0.332009	200	11
1.09179	0.342605	200	12
1.1401	0.358499	200	13
1.19324	0.377925	200	14
1.24155	0.400883	200	15
1.28986	0.413245	200	16
1.33816	0.434437	200	17
1.38647	0.450331	200	18
1.43478	0.476821	200	19
1.47826	0.501545	200	20
1.5314	0.522737	200	21
1.58454	0.538631	200	22
1.63768	0.558057	200	23
1.67633	0.579249	200	24
1.72947	0.602207	200	25
1.78261	0.628698	200	26
1.83092	0.653422	200	27
1.8744	0.678146	200	28
1.92754	0.709934	200	29
1.97101	0.734658	200	30
2.01932	0.761148	200	31
			32
			33
