****			
FIGNO:MSP151064			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mJ/mol.K2			
PPROP:H			
PUNIT:Oe			
****			
XDATA	YDATA	PDATA	NUMBER
0.051 	0.488 	0	1
0.054 	0.560 	0	2
0.065 	0.706 	0	3
0.077 	0.788 	0	4
0.083 	0.822 	0	5
0.092 	0.882 	0	6
0.102 	0.954 	0	7
0.104 	0.973 	0	8
0.116 	1.042 	0	9
0.124 	1.079 	0	10
0.144 	1.167 	0	11
0.156 	1.218 	0	12
0.169 	1.287 	0	13
0.173 	1.299 	0	14
0.186 	1.350 	0	15
0.198 	1.394 	0	16
0.216 	1.457 	0	17
0.219 	1.469 	0	18
0.234 	1.548 	0	19
0.249 	1.570 	0	20
0.250 	1.585 	0	21
0.293 	0.748 	0	22
0.335 	0.768 	0	23
0.343 	0.765 	0	24
0.352 	0.766 	0	25
0.381 	0.773 	0	26
0.448 	0.790 	0	27
0.536 	0.806 	0	28
0.062 	0.697 	150	1
0.092 	0.704 	150	2
0.122 	0.708 	150	3
0.155 	0.716 	150	4
0.163 	0.719 	150	5
0.182 	0.723 	150	6
0.194 	0.729 	150	7
0.215 	0.736 	150	8
0.251 	0.740 	150	9
0.276 	0.751 	150	10
0.303 	0.748 	150	11
0.330 	0.759 	150	12
0.369 	0.772 	150	13
0.442 	0.787 	150	14
0.540 	0.809 	150	15
