****			
FIGNO: MSP151145			
XPROP: T			
XUNIT: K			
YPROP: C			
YUNIT: mJ/mol.K			
PPROP:			
PUNIT:			
SAMPLE:			
****			

XDATA	YDATA	PDATA	NUMBER
0.686 	1.373 	1	1
0.756 	1.569 	1	2
0.802 	1.961 	1	3
0.849 	2.157 	1	4
0.895 	2.549 	1	5
0.907 	2.941 	1	6
1.012 	4.118 	1	7
1.093 	5.294 	1	8
1.198 	6.863 	1	9
1.314 	9.020 	1	10
1.419 	11.569 	1	11
1.581 	15.686 	1	12
1.767 	20.392 	1	13
1.965 	25.294 	1	14
2.163 	30.392 	1	15
2.384 	38.235 	1	16
2.442 	40.000 	1	17
2.535 	42.941 	1	18
2.640 	46.863 	1	19
2.640 	44.314 	1	20
2.733 	40.196 	1	21
2.826 	31.373 	1	22
2.895 	28.039 	1	23
2.965 	27.451 	1	24
3.035 	28.039 	1	25
3.140 	28.039 	1	26
3.233 	29.804 	1	27
3.314 	29.804 	1	28
3.372 	31.373 	1	29
3.453 	32.157 	1	30
3.535 	32.549 	1	31
3.616 	34.118 	1	32
3.721 	35.098 	1	33
3.791 	35.490 	1	34
3.872 	37.059 	1	35
3.942 	36.863 	1	36
4.116 	38.628 	1	37
4.267 	41.177 	1	38
4.430 	43.726 	1	39
4.628 	46.275 	1	40
4.767 	48.431 	1	41
4.953 	50.196 	1	42
5.070 	52.549 	1	43
5.140 	53.922 	1	44
5.384 	56.667 	1	45
5.547 	59.216 	1	46
5.767 	61.765 	1	47
5.884 	64.118 	1	48
5.965 	65.882 	1	49
