****			
FIGNO: MSP152232			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: H			
PUNIT: kOe			
SAMPLE: Nb3S4			
****			

XDATA	YDATA	PDATA	NUMBER
1.247 	6.36 	0	1
1.316 	6.79 	0	2
1.524 	7.76 	0	3
1.871 	8.84 	0	4
1.940 	9.81 	0	5
2.217 	11.00 	0	6
2.356 	11.75 	0	7
2.702 	12.83 	0	8
2.841 	13.37 	0	9
3.256 	14.77 	0	10
3.533 	15.85 	0	11
4.018 	17.25 	0	12
4.296 	18.11 	0	13
4.642 	18.87 	0	14
5.058 	19.95 	0	15
5.681 	21.13 	0	16
6.236 	22.21 	0	17
6.651 	22.86 	0	18
6.859 	23.50 	0	19
7.344 	23.94 	0	20
7.691 	24.69 	0	21
7.968 	25.12 	0	22
8.245 	25.55 	0	23
8.522 	26.20 	0	24
9.007 	26.95 	0	25
9.561 	27.49 	0	26
9.908 	28.14 	0	27
10.393 	28.79 	0	28
11.016 	29.43 	0	29
11.432 	29.76 	0	30
11.917 	30.84 	0	31
12.263 	31.27 	0	32
12.748 	31.70 	0	33
13.164 	31.91 	0	34
13.372 	32.35 	0	35
13.718 	32.78 	0	36
13.718 	31.37 	0	37
13.857 	29.87 	0	38
13.926 	28.89 	0	39
13.995 	27.60 	0	40
14.134 	25.98 	0	41
14.203 	21.56 	0	42
14.411 	21.13 	0	43
14.619 	19.73 	0	44
14.688 	19.08 	0	45
14.896 	18.44 	0	46
15.243 	18.44 	0	47
15.728 	18.65 	0	48
16.420 	18.87 	0	49
16.628 	18.98 	0	50
16.975 	19.19 	0	51
17.598 	19.41 	0	52
18.776 	19.84 	0	53
19.607 	19.95 	0	54
21.340 	20.70 	0	55
22.379 	20.81 	0	56
23.487 	21.35 	0	57
24.665 	21.56 	0	58
25.774 	21.99 	0	59
27.644 	22.64 	0	60
29.792 	23.29 	0	61
2.009 	14.12 	14	1
8.730 	16.39 	14	2
20.439 	20.49 	14	3
28.060 	22.64 	14	4
