****			
FIGNO: MSP153970			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: Ir1-xPtxTe2 (x=0.04)			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.881 	12.75 	1	1
4.080 	13.34 	1	2
4.527 	14.12 	1	3
4.826 	15.05 	1	4
4.975 	15.52 	1	5
5.323 	16.36 	1	6
5.771 	17.26 	1	7
6.269 	18.13 	1	8
6.667 	19.00 	1	9
7.164 	19.84 	1	10
7.562 	20.59 	1	11
8.010 	20.68 	1	12
8.557 	15.83 	1	13
9.154 	13.53 	1	14
9.801 	14.02 	1	15
10.45 	14.46 	1	16
11.19 	15.02 	1	17
11.94 	15.61 	1	18
12.74 	16.20 	1	19
13.63 	16.92 	1	20
14.48 	17.63 	1	21
15.52 	18.41 	1	22
16.52 	19.32 	1	23
17.66 	20.16 	1	24
18.81 	21.09 	1	25
