****			
FIGNO: MSP154053			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: J/La-mol.K2			
PPROP: 			
PUNIT: 			
sample: La2Ir3Si5			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.57 	0.0260 	1	1
2.81 	0.0287 	1	2
3.09 	0.0311 	1	3
3.27 	0.0329 	1	4
3.44 	0.0340 	1	5
3.59 	0.0364 	1	6
3.80 	0.0383 	1	7
3.97 	0.0386 	1	8
4.15 	0.0379 	1	9
4.29 	0.0369 	1	10
4.46 	0.0359 	1	11
4.67 	0.0349 	1	12
4.89 	0.0332 	1	13
5.13 	0.0319 	1	14
5.27 	0.0309 	1	15
5.52 	0.0301 	1	16
5.62 	0.0298 	1	17
5.83 	0.0299 	1	18
5.98 	0.0294 	1	19
6.19 	0.0291 	1	20
6.47 	0.0282 	1	21
7.03 	0.0284 	1	22
7.49 	0.0288 	1	23
7.87 	0.0288 	1	24
8.26 	0.0284 	1	25
8.65 	0.0288 	1	26
9.00 	0.0291 	1	27
9.38 	0.0295 	1	28
9.81 	0.0301 	1	29
10.30 	0.0305 	1	30
10.86 	0.0316 	1	31
11.70 	0.0323 	1	32
12.62 	0.0338 	1	33
13.36 	0.0343 	1	34
14.02 	0.0350 	1	35
14.55 	0.0356 	1	36
15.18 	0.0360 	1	37
15.78 	0.0373 	1	38
16.63 	0.0379 	1	39
17.43 	0.0391 	1	40
18.24 	0.0407 	1	41
19.12 	0.0414 	1	42
19.86 	0.0419 	1	43
