****			
FIGNO: MSP154310			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: La3Pd4Si4			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.405 	4.21 		1
0.452 	5.50 		2
0.508 	6.67 		3
0.533 	7.84 		4
0.576 	9.24 		5
0.606 	10.06 		6
0.623 	10.99 		7
0.661 	12.98 		8
0.708 	14.62 		9
0.751 	16.37 		10
0.794 	18.36 		11
0.832 	20.12 		12
0.875 	22.11 		13
0.892 	22.57 		14
0.909 	23.86 		15
0.951 	25.85 		16
0.985 	27.13 		17
0.994 	27.84 		18
1.020 	28.77 		19
1.045 	29.71 		20
1.084 	31.46 		21
1.118 	33.10 		22
1.177 	35.32 		23
1.203 	37.08 		24
1.254 	38.95 		25
1.271 	39.53 		26
1.288 	40.35 		27
1.327 	41.87 		28
1.374 	43.63 		29
1.416 	45.38 		30
1.476 	46.67 		31
1.515 	47.60 		32
1.557 	48.89 		33
1.591 	49.71 		34
1.638 	50.64 		35
1.672 	51.11 		36
1.711 	51.46 		37
1.762 	51.70 		38
1.809 	51.70 		39
1.852 	51.23 		40
1.881 	50.76 		41
1.937 	49.47 		42
1.958 	49.12 		43
1.958 	46.90 		44
2.005 	43.51 		45
2.005 	43.04 		46
2.044 	39.42 		47
2.044 	37.89 		48
2.099 	30.53 		49
2.150 	30.76 		50
2.244 	30.64 		51
2.334 	30.99 		52
2.427 	31.46 		53
