****			
FIGNO: MSP154400			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: CaPd2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.225 	3.71 	1	1
0.286 	4.48 	1	2
0.370 	6.06 	1	3
0.530 	7.78 	1	4
0.666 	9.30 	1	5
0.837 	10.67 	1	6
0.948 	11.54 	1	7
1.009 	11.77 	1	8
1.058 	12.14 	1	9
1.137 	12.58 	1	10
1.220 	12.88 	1	11
1.264 	13.31 	1	12
1.356 	13.59 	1	13
1.412 	13.81 	1	14
1.495 	14.20 	1	15
1.577 	14.42 	1	16
1.638 	8.34 	1	17
1.743 	7.43 	1	18
1.859 	7.43 	1	19
2.029 	7.39 	1	20
2.344 	7.43 	1	21
2.647 	7.69 	1	22
2.998 	7.96 	1	23
3.329 	8.01 	1	24
3.715 	8.35 	1	25
4.107 	8.46 	1	26
4.556 	8.72 	1	27
4.977 	9.19 	1	28
5.436 	9.26 	1	29
5.883 	9.52 	1	30
6.399 	9.74 	1	31
6.934 	10.06 	1	32
7.496 	10.34 	1	33
8.072 	10.60 	1	34
8.692 	11.09 	1	35
9.272 	11.38 	1	36
9.918 	11.70 	1	37
