****			
FIGNO: MSP154601			
XPROP: T			
XUNIT: K			
YPROP: C			
YUNIT: mJ/mol.K			
PPROP: H			
PUNIT: T			
sample: Ca3Ir4Ge4			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.397 	3.33 	0	2
0.470 	4.96 	0	3
0.505 	5.63 	0	4
0.607 	7.60 	0	5
0.702 	11.50 	0	6
0.800 	16.15 	0	7
0.902 	24.07 	0	8
0.999 	29.81 	0	9
1.102 	38.56 	0	10
1.208 	48.49 	0	11
1.310 	57.54 	0	12
1.415 	68.01 	0	13
1.515 	78.28 	0	14
1.618 	86.95 	0	15
1.713 	95.45 	0	16
1.819 	100.02 	0	17
1.911 	95.33 	0	18
2.023 	68.14 	0	19
2.118 	73.79 	0	20
2.227 	79.36 	0	21
2.326 	83.01 	0	22
2.428 	90.17 	0	23
2.665 	106.60 	0	24
2.909 	122.47 	0	25
3.149 	142.83 	0	26
3.392 	164.70 	0	27
3.618 	194.16 	0	28
3.859 	222.14 	0	29
4.095 	255.54 	0	30
4.345 	289.14 	0	31
4.575 	326.89 	0	32
4.812 	367.02 	0	33
5.054 	419.02 	0	34
0.455 	13.67 	1	1
0.562 	16.01 	1	2
0.654 	19.61 	1	3
0.755 	23.22 	1	4
0.852 	26.15 	1	5
0.952 	30.46 	1	6
1.079 	32.47 	1	7
1.148 	37.12 	1	8
1.230 	41.69 	1	9
1.327 	43.62 	1	10
1.433 	47.55 	1	11
1.534 	50.19 	1	12
1.631 	55.18 	1	13
1.728 	58.53 	1	14
1.837 	61.55 	1	15
1.926 	67.37 	1	16
2.027 	72.19 	1	17
2.222 	80.32 	1	18
2.332 	84.25 	1	19
2.435 	88.82 	1	20
2.747 	111.15 	1	21
3.069 	129.62 	1	22
3.394 	160.46 	1	23
3.712 	197.83 	1	24
4.084 	241.61 	1	25
4.389 	289.21 	1	26
4.584 	326.07 	1	27
4.712 	351.63 	1	28
5.051 	411.54 	1	29
