****			
FIGNO: MSP154724			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: LaC2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.401 	1.289 	1	1
0.453 	1.336 	1	2
0.497 	1.449 	1	3
0.549 	1.667 	1	4
0.596 	1.884 	1	5
0.644 	2.175 	1	6
0.694 	2.419 	1	7
0.742 	2.690 	1	8
0.790 	2.892 	1	9
0.840 	3.278 	1	10
0.890 	3.510 	1	11
0.939 	3.744 	1	12
0.987 	4.092 	1	13
1.034 	4.369 	1	14
1.082 	4.620 	1	15
1.131 	4.930 	1	16
1.180 	5.143 	1	17
1.226 	5.406 	1	18
1.276 	5.691 	1	19
1.324 	5.942 	1	20
1.374 	6.176 	1	21
1.418 	6.438 	1	22
1.474 	6.735 	1	23
1.521 	6.881 	1	24
1.568 	6.687 	1	25
1.616 	4.708 	1	26
1.667 	3.773 	1	27
1.716 	3.623 	1	28
1.762 	3.623 	1	29
1.812 	3.698 	1	30
2.150 	3.994 	1	31
2.191 	4.039 	1	32
2.240 	4.063 	1	33
2.29021	4.09376	1	34
