****			
FIGNO: MSP154801			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: LuRu2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.427 	0.153 	1	1
0.495 	0.597 	1	2
0.505 	0.759 	1	3
0.578 	1.698 	1	4
0.636 	2.974 	1	5
0.658 	3.574 	1	6
0.704 	4.674 	1	7
0.761 	6.283 	1	8
0.808 	8.279 	1	9
0.840 	9.098 	1	10
0.889 	11.47 	1	11
0.946 	14.24 	1	12
1.005 	16.72 	1	13
1.066 	19.42 	1	14
1.092 	21.07 	1	15
1.148 	24.09 	1	16
1.212 	27.55 	1	17
1.248 	29.37 	1	18
1.304 	32.61 	1	19
1.361 	36.35 	1	20
1.421 	39.57 	1	21
1.446 	41.43 	1	22
1.514 	45.56 	1	23
1.540 	47.21 	1	24
1.595 	51.93 	1	25
1.634 	53.71 	1	26
1.634 	54.47 	1	27
1.693 	57.91 	1	28
1.761 	62.89 	1	29
1.793 	64.03 	1	30
1.789 	64.47 	1	31
1.789 	66.49 	1	32
1.846 	69.29 	1	33
1.878 	71.31 	1	34
1.883 	69.54 	1	35
1.974 	75.01 	1	36
1.974 	75.66 	1	37
1.974 	73.94 	1	38
2.065 	75.06 	1	39
2.092 	71.54 	1	40
2.162 	54.97 	1	41
2.162 	53.72 	1	42
2.172 	51.82 	1	43
2.206 	47.06 	1	44
2.270 	44.21 	1	45
2.270 	44.86 	1	46
2.298 	45.18 	1	47
2.362 	45.80 	1	48
2.430 	47.71 	1	49
2.456 	48.38 	1	50
2.520 	49.86 	1	51
2.544 	50.65 	1	52
2.615 	52.53 	1	53
2.685 	53.82 	1	54
2.679 	54.32 	1	55
