****			
FIGNO: MSP155746			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: VN			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.73 	5.51 	1	1
5.52 	6.56 	1	2
6.28 	7.57 	1	3
7.95 	8.96 	1	4
8.89 	10.23 	1	5
10.29 	11.47 	1	6
11.8 	12.4 	1	7
12.8 	13.4 	1	8
13.7 	14.2 	1	9
14.6 	15.3 	1	10
16.5 	16.2 	1	11
17.3 	17.4 	1	12
18.2 	18.3 	1	13
19.4 	19.3 	1	14
21.1 	20.4 	1	15
23.0 	21.8 	1	16
24.4 	23.0 	1	17
26.2 	24.0 	1	18
28.2 	25.4 	1	19
30.4 	26.0 	1	20
33.6 	25.3 	1	21
35.6 	17.9 	1	22
37.8 	15.4 	1	23
40.4 	14.6 	1	24
43.9 	14.3 	1	25
47.2 	14.6 	1	26
52.2 	14.6 	1	27
55.8 	14.8 	1	28
58.9 	15.0 	1	29
63.1 	15.5 	1	30
67.3 	15.5 	1	31
72.7 	15.9 	1	32
76.9 	16.1 	1	33
83.1 	16.6 	1	34
89.1 	17.0 	1	35
95.7 	17.5 	1	36
103.5 	18.0 	1	37
110.5 	18.6 	1	38
119.0 	19.3 	1	39
129.1 	20.0 	1	40
137.8 	20.8 	1	41
148.7 	21.9 	1	42
160.1 	22.7 	1	43
172.4 	24.1 	1	44
184.7 	25.3 	1	45
197.8 	26.9 	1	46
