****			
FIGNO: MSP156044			
XPROP: T			
XUNIT: K			
YPROP: Cel			
YUNIT: mJ/mol.K			
PPROP: 			
PUNIT: 			
sample: BaCu0.3Si1.7			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.036 	13.14 	1	1
2.060 	13.58 	1	2
2.086 	13.95 	1	3
2.107 	14.17 	1	4
2.141 	14.47 	1	5
2.151 	14.77 	1	6
2.191 	15.44 	1	7
2.207 	15.73 	1	8
2.245 	16.37 	1	9
2.252 	16.56 	1	10
2.296 	17.25 	1	11
2.301 	17.44 	1	12
2.349 	18.14 	1	13
2.349 	17.99 	1	14
2.397 	18.98 	1	15
2.448 	19.70 	1	16
2.508 	20.84 	1	17
2.551 	21.65 	1	18
2.603 	22.44 	1	19
2.650 	23.33 	1	20
2.703 	23.99 	1	21
2.753 	24.71 	1	22
2.797 	24.64 	1	23
2.858 	22.72 	1	24
2.897 	20.14 	1	25
2.948 	17.12 	1	26
2.996 	13.62 	1	27
3.046 	12.80 	1	28
3.098 	13.00 	1	29
3.149 	13.30 	1	30
3.194 	13.44 	1	31
3.253 	13.58 	1	32
3.297 	13.78 	1	33
3.344 	13.83 	1	34
3.395 	14.05 	1	35
3.444 	14.18 	1	36
3.494 	14.24 	1	37
