****			
FIGNO: MSP156115			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: ThPt3B			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.152 	4.93 	1	1
0.251 	5.81 	1	2
0.305 	6.76 	1	3
0.356 	7.27 	1	4
0.410 	8.00 	1	5
0.459 	8.61 	1	6
0.507 	9.14 	1	7
0.557 	9.33 	1	8
0.604 	9.33 	1	9
0.657 	9.31 	1	10
0.711 	9.14 	1	11
0.755 	8.47 	1	12
0.809 	7.90 	1	13
0.859 	7.37 	1	14
0.909 	7.11 	1	15
0.960 	7.16 	1	16
1.01 	7.26 	1	17
1.06 	7.34 	1	18
1.11 	7.46 	1	19
1.16 	7.53 	1	20
1.22 	7.73 	1	21
1.26 	7.86 	1	22
1.32 	8.06 	1	23
1.37 	8.19 	1	24
1.42 	8.38 	1	25
1.47 	8.38 	1	26
1.52 	8.62 	1	27
1.56 	8.81 	1	28
1.61 	9.00 	1	29
1.67 	9.23 	1	30
1.72 	9.42 	1	31
1.77 	9.65 	1	32
