****			
FIGNO: MSP156442			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: Cs2Cr3As3			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.16 	49.5 	1	1
0.31 	49.5 	1	2
0.38 	50.8 	1	3
0.50 	50.8 	1	4
0.60 	51.3 	1	5
0.86 	53.5 	1	6
1.00 	55.1 	1	7
1.15 	56.0 	1	8
1.26 	57.2 	1	9
1.49 	58.7 	1	10
1.67 	60.5 	1	11
1.85 	60.9 	1	12
1.96 	61.4 	1	13
2.22 	63.2 	1	14
2.43 	64.6 	1	15
2.65 	65.9 	1	16
2.83 	65.9 	1	17
3.02 	65.9 	1	18
3.18 	66.3 	1	19
3.41 	67.1 	1	20
3.59 	67.1 	1	21
3.80 	67.1 	1	22
3.96 	65.7 	1	23
4.17 	64.5 	1	24
4.41 	63.6 	1	25
4.58 	62.7 	1	26
4.77 	61.8 	1	27
5.06 	61.4 	1	28
5.28 	61.8 	1	29
5.57 	63.2 	1	30
5.81 	63.6 	1	31
6.03 	64.5 	1	32
6.32 	65.4 	1	33
6.61 	66.8 	1	34
6.87 	68.1 	1	35
7.19 	69.0 	1	36
7.39 	69.9 	1	37
7.69 	71.7 	1	38
8.02 	72.1 	1	39
8.35 	73.0 	1	40
8.64 	75.3 	1	41
8.88 	76.2 	1	42
9.23 	78.0 	1	43
9.82 	80.7 	1	44
10.45 	83.2 	1	45
11.09 	87.9 	1	46
11.76 	90.7 	1	47
12.65 	95.0 	1	48
13.30 	99.1 	1	49
14.01 	102.7 	1	50
14.86 	106.2 	1	51
15.66 	111.8 	1	52
16.51 	116.4 	1	53
17.33 	120.9 	1	54
18.13 	125.6 	1	55
19.03 	130.0 	1	56
19.90 	134.8 	1	57
20.81 	141.4 	1	58
21.74 	147.0 	1	59
22.74 	152.4 	1	60
23.64 	157.6 	1	61
24.64 	163.8 	1	62
25.73 	170.3 	1	63
