****			
FIGNO: MSP156535			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
sample: BaPt2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.406 	2.53 	1	1
0.428 	2.84 	1	2
0.452 	3.21 	1	3
0.470 	3.54 	1	4
0.489 	3.81 	1	5
0.512 	4.18 	1	6
0.530 	4.66 	1	7
0.551 	5.11 	1	8
0.568 	5.42 	1	9
0.590 	5.85 	1	10
0.607 	6.37 	1	11
0.628 	6.63 	1	12
0.649 	6.88 	1	13
0.674 	7.39 	1	14
0.692 	7.78 	1	15
0.710 	8.09 	1	16
0.730 	8.50 	1	17
0.751 	8.98 	1	18
0.772 	9.38 	1	19
0.791 	9.63 	1	20
0.813 	10.00 	1	21
0.832 	10.47 	1	22
0.850 	10.89 	1	23
0.874 	11.20 	1	24
0.893 	11.48 	1	25
0.916 	11.99 	1	26
0.937 	12.27 	1	27
0.955 	12.53 	1	28
0.973 	13.06 	1	29
0.996 	13.45 	1	30
1.017 	13.78 	1	31
1.035 	14.15 	1	32
1.061 	14.50 	1	33
1.079 	14.64 	1	34
1.100 	15.07 	1	35
1.120 	15.40 	1	36
1.140 	15.66 	1	37
1.161 	16.16 	1	38
1.182 	16.36 	1	39
1.201 	16.68 	1	40
1.222 	17.14 	1	41
1.240 	17.42 	1	42
1.264 	17.83 	1	43
1.282 	17.88 	1	44
1.303 	17.84 	1	45
1.319 	16.58 	1	46
1.342 	12.88 	1	47
1.363 	10.41 	1	48
1.382 	9.97 	1	49
1.404 	9.96 	1	50
1.422 	9.96 	1	51
1.440 	10.00 	1	52
1.465 	10.00 	1	53
1.486 	10.00 	1	54
1.503 	10.10 	1	55
1.523 	10.14 	1	56
1.547 	10.23 	1	57
1.567 	10.21 	1	58
1.586 	10.38 	1	59
1.605 	10.19 	1	60
1.628 	10.27 	1	61
1.649 	10.21 	1	62
1.662 	9.97 	1	63
1.690 	10.03 	1	64
1.708 	10.03 	1	65
1.728 	10.03 	1	66
1.740 	10.14 	1	67
1.768 	10.14 	1	68
1.783 	10.20 	1	69
1.809 	10.31 	1	70
1.831 	10.37 	1	71
1.853 	10.42 	1	72
1.869 	10.37 	1	73
1.891 	10.42 	1	74
1.912 	10.53 	1	75
1.931 	10.48 	1	76
