****			
FIGNO: MSP156591			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.k2			
PPROP: 			
PUNIT: 			
sample: ZrVGe			
****			
			
XDATA	YDATA	PDATA	NUMBER
15.53 	11.60 	1	1
16.19 	11.89 	1	2
16.83 	12.14 	1	3
17.57 	12.44 	1	4
18.15 	12.71 	1	5
18.86 	12.99 	1	6
19.59 	13.26 	1	7
20.31 	13.51 	1	8
21.26 	13.79 	1	9
22.03 	14.12 	1	10
22.83 	14.35 	1	11
23.75 	14.61 	1	12
24.63 	15.12 	1	13
25.36 	15.47 	1	14
26.37 	15.94 	1	15
27.46 	16.39 	1	16
28.57 	16.98 	1	17
30.78 	17.63 	1	18
33.08 	18.64 	1	19
35.48 	18.39 	1	20
37.87 	17.87 	1	21
40.36 	18.35 	1	22
42.96 	19.02 	1	23
46.09 	19.82 	1	24
49.26 	20.65 	1	25
52.04 	21.22 	1	26
54.99 	21.87 	1	27
58.08 	22.62 	1	28
60.96 	23.37 	1	29
64.15 	24.20 	1	30
67.32 	25.01 	1	31
