****			
FIGNO: MSP157453			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: structure			
PUNIT: 			
SAMPLE: BaPd2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
4.25 	20.88 	"ThCr2Si2, H=0"	1
4.45 	22.28 	"ThCr2Si2, H=0"	2
4.78 	23.86 	"ThCr2Si2, H=0"	3
5.03 	25.52 	"ThCr2Si2, H=0"	4
5.34 	27.19 	"ThCr2Si2, H=0"	5
5.62 	28.19 	"ThCr2Si2, H=0"	6
5.91 	29.88 	"ThCr2Si2, H=0"	7
6.21 	31.30 	"ThCr2Si2, H=0"	8
6.40 	33.56 	"ThCr2Si2, H=0"	9
6.76 	34.80 	"ThCr2Si2, H=0"	10
7.05 	37.19 	"ThCr2Si2, H=0"	11
7.37 	39.22 	"ThCr2Si2, H=0"	12
7.75 	40.96 	"ThCr2Si2, H=0"	13
8.04 	42.21 	"ThCr2Si2, H=0"	14
8.38 	43.87 	"ThCr2Si2, H=0"	15
8.70 	45.77 	"ThCr2Si2, H=0"	16
9.04 	48.69 	"ThCr2Si2, H=0"	17
9.40 	50.26 	"ThCr2Si2, H=0"	18
9.77 	51.90 	"ThCr2Si2, H=0"	19
10.15 	54.27 	"ThCr2Si2, H=0"	20
10.53 	55.76 	"ThCr2Si2, H=0"	21
10.94 	57.27 	"ThCr2Si2, H=0"	22
11.31 	58.44 	"ThCr2Si2, H=0"	23
11.63 	57.42 	"ThCr2Si2, H=0"	24
12.05 	56.51 	"ThCr2Si2, H=0"	25
12.47 	55.82 	"ThCr2Si2, H=0"	26
12.90 	55.13 	"ThCr2Si2, H=0"	27
13.29 	54.61 	"ThCr2Si2, H=0"	28
13.82 	56.36 	"ThCr2Si2, H=0"	29
14.35 	58.39 	"ThCr2Si2, H=0"	30
14.65 	59.70 	"ThCr2Si2, H=0"	31
15.08 	62.18 	"ThCr2Si2, H=0"	32
15.59 	63.02 	"ThCr2Si2, H=0"	33
16.04 	64.99 	"ThCr2Si2, H=0"	34
16.49 	66.87 	"ThCr2Si2, H=0"	35
16.97 	69.17 	"ThCr2Si2, H=0"	36
17.45 	71.69 	"ThCr2Si2, H=0"	37
17.94 	72.98 	"ThCr2Si2, H=0"	38
18.43 	75.26 	"ThCr2Si2, H=0"	39
18.91 	77.47 	"ThCr2Si2, H=0"	40
19.44 	77.80 	"ThCr2Si2, H=0"	41
19.95 	78.72 	"ThCr2Si2, H=0"	42
4.45 	21.31 	"ThCr2Si2, H=1 T"	1
4.74 	22.15 	"ThCr2Si2, H=1 T"	2
5.03 	23.30 	"ThCr2Si2, H=1 T"	3
5.26 	23.96 	"ThCr2Si2, H=1 T"	4
5.59 	24.84 	"ThCr2Si2, H=1 T"	5
5.89 	26.08 	"ThCr2Si2, H=1 T"	6
6.16 	26.70 	"ThCr2Si2, H=1 T"	7
6.36 	27.48 	"ThCr2Si2, H=1 T"	8
6.70 	28.84 	"ThCr2Si2, H=1 T"	9
7.01 	29.80 	"ThCr2Si2, H=1 T"	10
7.35 	31.26 	"ThCr2Si2, H=1 T"	11
7.68 	32.40 	"ThCr2Si2, H=1 T"	12
7.94 	34.29 	"ThCr2Si2, H=1 T"	13
8.31 	34.85 	"ThCr2Si2, H=1 T"	14
8.65 	36.27 	"ThCr2Si2, H=1 T"	15
9.07 	37.92 	"ThCr2Si2, H=1 T"	16
9.38 	38.66 	"ThCr2Si2, H=1 T"	17
9.76 	40.81 	"ThCr2Si2, H=1 T"	18
10.15 	42.40 	"ThCr2Si2, H=1 T"	19
10.49 	43.87 	"ThCr2Si2, H=1 T"	20
10.96 	44.32 	"ThCr2Si2, H=1 T"	21
11.34 	46.26 	"ThCr2Si2, H=1 T"	22
11.65 	48.25 	"ThCr2Si2, H=1 T"	23
12.04 	49.23 	"ThCr2Si2, H=1 T"	24
12.53 	51.50 	"ThCr2Si2, H=1 T"	25
12.92 	52.23 	"ThCr2Si2, H=1 T"	26
13.33 	54.69 	"ThCr2Si2, H=1 T"	27
13.83 	56.16 	"ThCr2Si2, H=1 T"	28
14.35 	60.55 	"ThCr2Si2, H=1 T"	29
14.75 	59.86 	"ThCr2Si2, H=1 T"	30
15.07 	61.63 	"ThCr2Si2, H=1 T"	31
15.58 	62.65 	"ThCr2Si2, H=1 T"	32
16.07 	65.76 	"ThCr2Si2, H=1 T"	33
16.52 	67.97 	"ThCr2Si2, H=1 T"	34
16.98 	69.68 	"ThCr2Si2, H=1 T"	35
17.50 	71.81 	"ThCr2Si2, H=1 T"	36
