****			
FIGNO: MSP157693			
XPROP: T			
XUNIT: K			
YPROP: C			
YUNIT: mJ/mol.K			
PPROP: 			
PUNIT: 			
SAMPLE: PdTe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.41 	0.39 	1	1
0.56 	1.28 	1	2
0.72 	2.87 	1	3
0.86 	5.27 	1	4
1.00 	7.84 	1	5
1.14 	10.93 	1	6
1.23 	12.96 	1	7
1.32 	16.47 	1	8
1.42 	19.15 	1	9
1.52 	22.00 	1	10
1.57 	23.50 	1	11
1.63 	24.55 	1	12
1.68 	17.30 	1	13
1.68 	16.77 	1	14
1.72 	12.79 	1	15
1.75 	12.79 	1	16
1.79 	13.78 	1	17
1.84 	14.49 	1	18
1.90 	15.52 	1	19
1.96 	16.23 	1	20
1.99 	16.51 	1	21
2.54 	24.27 	1	22
