****			
FIGNO: MSP157699			
XPROP: T			
XUNIT: K			
YPROP: C			
YUNIT: mJ/mol.K			
PPROP: H			
PUNIT: Oe			
SAMPLE: PdTe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.424 	0.56 	0	1
0.569 	1.48 	0	2
0.722 	3.26 	0	3
0.866 	5.85 	0	4
1.008 	8.61 	0	5
1.144 	11.93 	0	6
1.241 	14.14 	0	7
1.342 	18.09 	0	8
1.342 	17.69 	0	9
1.436 	20.79 	0	10
1.522 	24.00 	0	11
1.588 	25.75 	0	12
1.641 	26.86 	0	13
1.688 	18.89 	0	14
1.688 	18.34 	0	15
1.701 	13.71 	0	16
1.757 	13.99 	0	17
1.796 	14.78 	0	18
1.860 	15.45 	0	19
1.908 	16.11 	0	20
1.958 	16.82 	0	21
2.006 	17.61 	0	22
2.537 	26.09 	0	23
3.039 	38.10 	0	24
0.398 	2.29 	500	1
0.451 	2.68 	500	2
0.549 	3.40 	500	3
0.590 	3.66 	500	4
0.683 	4.18 	500	5
0.731 	4.59 	500	6
0.818 	5.22 	500	7
0.872 	5.80 	500	8
0.956 	6.32 	500	9
1.008 	6.82 	500	10
1.089 	7.38 	500	11
1.139 	7.79 	500	12
1.233 	8.75 	500	13
1.272 	9.00 	500	14
1.319 	9.51 	500	15
1.358 	9.79 	500	16
1.446 	10.82 	500	17
1.559 	11.92 	500	18
1.662 	12.97 	500	19
1.735 	14.11 	500	20
1.798 	14.69 	500	21
1.847 	15.33 	500	22
1.900 	15.93 	500	23
1.953 	16.66 	500	24
2.001 	17.55 	500	25
2.057 	18.30 	500	26
2.161 	19.83 	500	27
2.255 	21.39 	500	28
2.353 	23.09 	500	29
2.404 	24.00 	500	30
2.448 	24.78 	500	31
2.706 	29.85 	500	32
2.926 	34.87 	500	33
2.981 	35.94 	500	34
