****			
FIGNO: MSP157863			
XPROP: T			
XUNIT: K			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
SAMPLE: TlNi2Se0.8S1.2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.51 	5.83 	1	1
0.54 	7.54 	1	2
0.59 	9.29 	1	3
0.63 	10.42 	1	4
0.67 	12.33 	1	5
0.70 	13.78 	1	6
0.75 	15.91 	1	7
0.78 	17.62 	1	8
0.81 	19.34 	1	9
0.85 	21.25 	1	10
0.92 	24.29 	1	11
0.97 	25.77 	1	12
1.04 	29.87 	1	13
1.08 	32.48 	1	14
1.13 	35.70 	1	15
1.23 	39.50 	1	16
1.30 	43.06 	1	17
1.36 	47.13 	1	18
1.44 	50.57 	1	19
1.52 	54.54 	1	20
1.57 	56.91 	1	21
1.66 	60.93 	1	22
1.72 	64.02 	1	23
1.79 	67.52 	1	24
1.87 	71.46 	1	25
1.95 	62.71 	1	26
2.03 	34.26 	1	27
2.14 	34.50 	1	28
2.27 	35.29 	1	29
2.36 	36.42 	1	30
2.45 	37.22 	1	31
2.55 	37.12 	1	32
2.63 	38.07 	1	33
2.70 	38.57 	1	34
2.78 	39.17 	1	35
2.84 	40.49 	1	36
2.92 	41.27 	1	37
2.99 	42.03 	1	38
3.05 	42.67 	1	39
3.10 	43.64 	1	40
3.17 	43.99 	1	41
3.24 	45.13 	1	42
3.31 	45.93 	1	43
3.38 	47.15 	1	44
3.47 	48.20 	1	45
3.53 	49.35 	1	46
3.58 	51.07 	1	47
3.65 	52.03 	1	48
3.70 	52.72 	1	49
3.76 	54.03 	1	50
3.82 	55.60 	1	51
3.86 	56.87 	1	52
3.91 	58.60 	1	53
3.96 	60.31 	1	54
