****			
FIGNO: MSP157909			
XPROP: T2			
XUNIT: K2			
YPROP: C/T			
YUNIT: mJ/mol.K2			
PPROP: sample number			
PUNIT: 			
"SAMPLE: BaPtAs (YPtAs-type) #1,  #2"			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.99 	13.05 	#1	1
4.31 	13.82 	#1	2
4.67 	14.33 	#1	3
4.89 	14.85 	#1	4
5.09 	15.24 	#1	5
5.38 	15.69 	#1	6
5.58 	16.12 	#1	7
5.88 	16.63 	#1	8
6.18 	16.88 	#1	9
6.47 	17.21 	#1	10
6.76 	17.55 	#1	11
7.11 	17.48 	#1	12
7.41 	15.32 	#1	13
7.74 	13.06 	#1	14
8.06 	11.43 	#1	15
8.36 	11.23 	#1	16
8.74 	11.44 	#1	17
9.02 	11.53 	#1	18
9.46 	11.60 	#1	19
9.77 	11.84 	#1	20
10.19 	12.10 	#1	21
10.55 	12.20 	#1	22
10.93 	12.47 	#1	23
11.33 	12.67 	#1	24
11.68 	12.94 	#1	25
12.11 	12.80 	#1	26
12.50 	13.56 	#1	27
12.91 	13.49 	#1	28
13.27 	13.69 	#1	29
13.83 	14.19 	#1	30
14.17 	14.53 	#1	31
14.66 	14.84 	#1	32
15.15 	15.11 	#1	33
15.61 	15.36 	#1	34
16.09 	15.77 	#1	35
16.59 	16.22 	#1	36
17.06 	16.29 	#1	37
17.53 	16.56 	#1	38
18.13 	17.03 	#1	39
18.57 	17.35 	#1	40
19.02 	17.96 	#1	41
19.53 	18.03 	#1	42
20.10 	18.47 	#1	43
20.59 	18.61 	#1	44
21.14 	18.79 	#1	45
21.65 	19.05 	#1	46
22.26 	18.87 	#1	47
22.79 	20.10 	#1	48
23.34 	20.10 	#1	49
23.82 	20.39 	#1	50
24.52 	20.93 	#1	51
4.38 	14.28 	#2	1
4.56 	12.63 	#2	2
4.79 	8.41 	#2	3
5.17 	8.08 	#2	4
5.31 	8.22 	#2	5
5.62 	8.46 	#2	6
5.88 	8.46 	#2	7
6.21 	8.58 	#2	8
6.39 	8.71 	#2	9
6.70 	8.78 	#2	10
7.03 	9.17 	#2	11
7.36 	9.37 	#2	12
7.59 	9.19 	#2	13
7.87 	9.39 	#2	14
8.16 	9.57 	#2	15
8.57 	9.78 	#2	16
8.98 	10.02 	#2	17
9.25 	10.31 	#2	18
9.61 	10.60 	#2	19
9.85 	10.69 	#2	20
10.28 	10.87 	#2	21
10.60 	11.12 	#2	22
11.03 	11.50 	#2	23
11.41 	11.64 	#2	24
11.76 	11.90 	#2	25
12.24 	12.06 	#2	26
12.62 	12.17 	#2	27
13.14 	12.42 	#2	28
13.43 	12.69 	#2	29
14.04 	13.20 	#2	30
14.23 	13.31 	#2	31
14.72 	13.49 	#2	32
15.17 	13.82 	#2	33
15.64 	14.06 	#2	34
16.20 	14.59 	#2	35
16.50 	14.77 	#2	36
16.94 	14.88 	#2	37
17.43 	15.30 	#2	38
18.05 	15.46 	#2	39
18.48 	15.64 	#2	40
18.91 	16.03 	#2	41
19.44 	16.32 	#2	42
19.95 	16.76 	#2	43
20.43 	16.98 	#2	44
20.93 	17.21 	#2	45
21.46 	17.53 	#2	46
21.95 	17.82 	#2	47
22.44 	18.07 	#2	48
23.02 	18.21 	#2	49
23.65 	19.01 	#2	50
24.35 	19.28 	#2	51
24.84 	19.73 	#2	52
