****			
FIGNO: MSP157952			
XPROP: T			
XUNIT: K			
YPROP: C<el>/T  			
YUNIT: mJ/mol.K2			
PPROP: 			
PUNIT: 			
SAMPLE: Re6Zr			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.747 	0.00 	1	1
0.925 	0.02 	1	2
1.071 	0.33 	1	3
1.258 	0.65 	1	4
1.421 	0.56 	1	5
1.600 	1.27 	1	6
1.779 	2.67 	1	7
1.934 	3.93 	1	8
2.104 	5.08 	1	9
2.267 	5.67 	1	10
2.459 	7.34 	1	11
2.610 	10.15 	1	12
2.797 	13.11 	1	13
2.955 	16.65 	1	14
3.122 	19.37 	1	15
3.299 	22.21 	1	16
3.458 	24.52 	1	17
3.639 	26.49 	1	18
3.798 	30.02 	1	19
3.952 	32.13 	1	20
4.127 	34.97 	1	21
4.305 	37.53 	1	22
4.471 	39.81 	1	23
4.651 	42.73 	1	24
4.807 	45.68 	1	25
4.971 	48.72 	1	26
5.134 	50.58 	1	27
5.316 	52.93 	1	28
5.483 	56.18 	1	29
5.592 	57.72 	1	30
5.679 	59.09 	1	31
5.762 	60.61 	1	32
5.847 	61.53 	1	33
5.918 	62.82 	1	34
6.008 	64.09 	1	35
6.095 	65.72 	1	36
6.172 	67.04 	1	37
6.275 	68.24 	1	38
6.358 	70.50 	1	39
6.424 	71.97 	1	40
6.513 	72.88 	1	41
6.587 	73.69 	1	42
6.681 	75.41 	1	43
6.753 	49.92 	1	44
6.837 	28.10 	1	45
6.919 	28.26 	1	46
7.017 	27.04 	1	47
7.111 	27.26 	1	48
7.291 	26.77 	1	49
7.353 	27.37 	1	50
7.432 	27.49 	1	51
7.522 	27.66 	1	52
7.615 	26.86 	1	53
7.688 	27.61 	1	54
7.765 	27.38 	1	55
7.855 	27.49 	1	56
7.948 	28.08 	1	57
