****			
FIGNO: MSP158190			
XPROP: T			
XUNIT: K			
YPROP: C			
YUNIT: mJ/mol.K			
PPROP: H			
PUNIT: T			
SAMPLE: Cr0.8Ru0.2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.424 	1.00 	H = 0	1
0.496 	1.49 	H = 0	2
0.575 	2.46 	H = 0	3
0.642 	3.54 	H = 0	4
0.715 	4.82 	H = 0	5
0.784 	6.05 	H = 0	6
0.856 	7.23 	H = 0	7
0.931 	8.56 	H = 0	8
0.984 	10.25 	H = 0	9
1.056 	12.06 	H = 0	10
1.126 	13.59 	H = 0	11
1.196 	15.31 	H = 0	12
1.256 	16.68 	H = 0	13
1.320 	9.23 	H = 0	14
1.468 	9.36 	H = 0	15
1.519 	9.76 	H = 0	16
1.584 	10.10 	H = 0	17
1.656 	10.12 	H = 0	18
1.713 	10.40 	H = 0	19
1.795 	10.90 	H = 0	20
1.871 	11.33 	H = 0	21
1.946 	11.85 	H = 0	22
1.999 	12.32 	H = 0	23
2.057 	12.86 	H = 0	24
2.120 	13.31 	H = 0	25
2.215 	13.72 	H = 0	26
2.321 	14.40 	H = 0	27
2.385 	14.63 	H = 0	28
2.448 	15.00 	H = 0	29
2.523 	15.00 	H = 0	30
2.591 	15.81 	H = 0	31
2.671 	16.26 	H = 0	32
2.723 	16.30 	H = 0	33
2.855 	17.92 	H = 0	34
2.956 	18.26 	H = 0	35
0.428 	2.62 	H = 2.5 T	1
0.549 	3.27 	H = 2.5 T	2
0.648 	3.74 	H = 2.5 T	3
0.754 	4.60 	H = 2.5 T	4
0.877 	5.23 	H = 2.5 T	5
0.980 	5.81 	H = 2.5 T	6
1.086 	6.56 	H = 2.5 T	7
1.205 	7.24 	H = 2.5 T	8
1.311 	7.97 	H = 2.5 T	9
1.419 	8.74 	H = 2.5 T	10
1.522 	9.44 	H = 2.5 T	11
1.626 	10.02 	H = 2.5 T	12
1.747 	10.63 	H = 2.5 T	13
1.833 	11.35 	H = 2.5 T	14
1.949 	11.92 	H = 2.5 T	15
2.051 	12.78 	H = 2.5 T	16
2.149 	12.77 	H = 2.5 T	17
2.278 	13.93 	H = 2.5 T	18
2.369 	14.55 	H = 2.5 T	19
2.483 	15.10 	H = 2.5 T	20
2.593 	15.60 	H = 2.5 T	21
2.704 	16.36 	H = 2.5 T	22
2.801 	17.37 	H = 2.5 T	23
2.914 	18.07 	H = 2.5 T	24
2.983 	18.67 	H = 2.5 T	25
