****			
FIGNO: MSP158385			
XPROP: T			
XUNIT:  K			
"YPROP: C/R, R=gas const."			
YUNIT: E-3			
PPROP: 			
PUNIT: 			
SAMPLE: bcc-Cr0.75Ru0.25			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.877 	0.62 	1	1
0.908 	0.68 	1	2
0.933 	0.72 	1	3
0.990 	0.81 	1	4
0.999 	0.86 	1	5
1.065 	1.02 	1	6
1.139 	1.17 	1	7
1.218 	1.37 	1	8
1.252 	1.43 	1	9
1.304 	1.59 	1	10
1.328 	1.69 	1	11
1.351 	1.72 	1	12
1.368 	1.82 	1	13
1.393 	1.85 	1	14
1.412 	1.93 	1	15
1.479 	2.06 	1	16
1.465 	2.10 	1	17
1.490 	2.16 	1	18
1.524 	2.28 	1	19
1.550 	2.35 	1	20
1.600 	2.47 	1	21
1.615 	2.53 	1	22
1.598 	2.56 	1	23
1.615 	2.60 	1	24
1.650 	2.72 	1	25
1.684 	2.79 	1	26
1.715 	2.88 	1	27
1.758 	2.97 	1	28
1.744 	3.01 	1	29
1.767 	3.08 	1	30
1.792 	3.16 	1	31
1.823 	3.24 	1	32
1.823 	3.31 	1	33
1.846 	3.34 	1	34
1.883 	3.40 	1	35
1.913 	2.60 	1	36
1.937 	1.97 	1	37
1.936 	1.69 	1	38
1.951 	1.68 	1	39
1.991 	1.68 	1	40
2.039 	1.72 	1	41
2.090 	1.74 	1	42
2.132 	1.77 	1	43
2.174 	1.81 	1	44
2.237 	1.85 	1	45
2.325 	1.93 	1	46
2.431 	2.00 	1	47
2.512 	2.08 	1	48
2.602 	2.16 	1	49
2.692 	2.23 	1	50
2.752 	2.29 	1	51
2.857 	2.37 	1	52
2.947 	2.44 	1	53
3.079 	2.56 	1	54
3.208 	2.66 	1	55
3.371 	2.81 	1	56
3.494 	2.92 	1	57
3.597 	3.01 	1	58
3.699 	3.09 	1	59
3.820 	3.21 	1	60
3.953 	3.31 	1	61
4.071 	3.42 	1	62
4.164 	3.51 	1	63
4.257 	3.59 	1	64
4.363 	3.77 	1	65
4.465 	3.81 	1	66
4.583 	3.92 	1	67
