****			
FIGNO: MSP158409			
XPROP: T			
XUNIT:  K			
YPROP: C<el>			
YUNIT: mJ/mol.K			
PPROP: 			
PUNIT: 			
SAMPLE:  Ru0.75Rh0.25As			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.496 	1.21 	1	1
0.520 	1.29 	1	2
0.540 	1.49 	1	3
0.558 	1.58 	1	4
0.580 	1.75 	1	5
0.598 	1.87 	1	6
0.612 	1.96 	1	7
0.637 	2.23 	1	8
0.659 	2.43 	1	9
0.689 	2.59 	1	10
0.712 	2.92 	1	11
0.737 	3.07 	1	12
0.759 	3.24 	1	13
0.786 	3.60 	1	14
0.813 	3.88 	1	15
0.832 	4.14 	1	16
0.850 	4.47 	1	17
0.881 	4.72 	1	18
0.911 	4.95 	1	19
0.934 	5.16 	1	20
0.953 	5.54 	1	21
0.982 	5.74 	1	22
1.001 	6.06 	1	23
1.066 	6.97 	1	24
1.111 	7.46 	1	25
1.163 	8.07 	1	26
1.212 	8.55 	1	27
1.273 	8.88 	1	28
1.315 	9.16 	1	29
1.359 	9.24 	1	30
1.416 	9.20 	1	31
1.463 	9.13 	1	32
1.513 	8.90 	1	33
1.564 	8.59 	1	34
1.619 	8.24 	1	35
1.670 	7.88 	1	36
1.722 	7.55 	1	37
1.766 	7.20 	1	38
1.824 	7.07 	1	39
1.869 	7.18 	1	40
1.925 	7.31 	1	41
1.972 	7.52 	1	42
2.024 	7.71 	1	43
2.077 	7.88 	1	44
2.123 	8.07 	1	45
2.174 	8.21 	1	46
2.226 	8.45 	1	47
2.278 	8.57 	1	48
2.329 	8.87 	1	49
2.378 	8.99 	1	50
2.425 	9.24 	1	51
2.477 	9.41 	1	52
2.532 	9.69 	1	53
2.579 	9.82 	1	54
2.629 	10.01 	1	55
2.683 	10.31 	1	56
2.738 	10.40 	1	57
2.783 	10.58 	1	58
2.834 	10.74 	1	59
2.881 	10.92 	1	60
2.937 	11.10 	1	61
2.984 	11.32 	1	62
