----------
FIGNO: MSP5051
XPROP: T2
XUNIT: K2
YPROP: C/T
YUNIT: mj/mol.k2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
5.882	.289	1	1
9.412	.201	1	2
12.941	.16	1	3
17.647	.144	1	4
16.471	.138	1	5
22.353	.135	1	6
27.059	.148	1	7
34.118	.169	1	8
38.824	.189	1	9
45.882	.217	1	10
52.941	.244	1	11
61.176	.269	1	12
69.412	.292	1	13
77.647	.313	1	14
88.235	.333	1	15
96.471	.348	1	16
101.176	.354	1	17
108.235	.355	1	18
115.294	.349	1	19
120	.339	1	20
125.882	.344	1	21
132.941	.346	1	22
145.882	.351	1	23
158.824	.355	1	24
172.941	.355	1	25
187.059	.361	1	26
202.353	.357	1	27
217.647	.358	1	28
232.941	.357	1	29
251.765	.355	1	30
267.059	.354	1	31
284.706	.354	1	32
302.353	.354	1	33
322.353	.352	1	34
342.353	.349	1	35
362.353	.351	1	36
384.706	.348	1	37
407.059	.351	1	38
429.412	.348	1	39
