---------			
FIGNO:MSP8106			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mj/mol.k2			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
5.16	12.1	1	1
6.88	15.12	1	2
9.46	18.15	1	3
11.17	22.18	1	4
13.75	26.21	1	5
14.61	28.23	1	6
17.19	34.27	1	7
20.63	39.31	1	8
21.49	42.34	1	9
24.07	46.37	1	10
25.79	49.4	1	11
26.65	51.41	1	12
28.37	55.44	1	13
30.09	58.47	1	14
30.95	60.48	1	15
32.66	64.52	1	16
33.52	66.53	1	17
35.24	68.55	1	18
36.96	70.56	1	19
38.68	72.58	1	20
41.26	77.62	1	21
42.98	81.65	1	22
43.84	84.68	1	23
36.96	84.68	1	24
45.56	84.68	1	25
47.28	88.71	1	26
48.14	90.73	1	27
50.72	93.75	1	28
51.58	96.77	1	29
53.3	98.79	1	30
54.15	101.81	1	31
56.73	104.84	1	32
57.59	107.86	1	33
60.17	109.88	1	34
61.89	111.9	1	35
61.89	113.91	1	36
63.61	117.94	1	37
65.33	118.95	1	38
66.19	120.97	1	39
67.91	126.01	1	40
70.49	129.03	1	41
71.35	131.05	1	42
74.79	136.09	1	43
75.64	138.1	1	44
78.22	140.12	1	45
79.08	144.15	1	46
80.8	146.17	1	47
83.38	150.2	1	48
85.1	153.23	1	49
86.82	155.24	1	50
88.54	158.27	1	51
90.26	160.28	1	52
92.84	163.31	1	53
93.7	167.34	1	54
94.56	169.35	1	55
96.28	171.37	1	56
97.13	174.4	1	57
98.85	175.4	1	58
99.71	177.42	1	59
101.43	178.43	1	60
104.01	180.44	1	61
105.73	188.51	1	62
107.45	189.52	1	63
109.17	191.53	1	64
110.89	194.56	1	65
111.75	194.56	1	66
113.47	193.55	1	67
115.19	193.55	1	68
117.77	195.56	1	69
115.19	204.64	1	70
118.62	204.64	1	71
120.34	201.61	1	72
121.2	198.59	1	73
123.78	195.56	1	74
124.64	191.53	1	75
126.36	180.44	1	76
128.08	151.21	1	77
128.08	140.12	1	78
130.66	143.15	1	79
131.52	148.19	1	80
134.96	149.19	1	81
138.4	152.22	1	82
141.83	153.23	1	83
146.13	152.22	1	84
146.99	155.24	1	85
151.29	158.27	1	86
153.01	161.29	1	87
156.45	162.3	1	88
158.17	163.31	1	89
160.74	165.32	1	90
163.32	167.34	1	91
166.76	169.35	1	92
171.06	172.38	1	93
172.78	175.4	1	94
176.22	176.41	1	95
178.8	175.4	1	96
183.09	184.48	1	97
186.53	180.44	1	98
189.11	180.44	1	99
193.41	182.46	1	100
196.85	185.48	1	101
199.43	187.5	1	102
202.87	189.52	1	103
206.3	193.55	1	104
209.74	193.55	1	105
214.04	194.56	1	106
216.62	196.57	1	107
218.34	196.57	1	108
222.64	201.61	1	109
226.07	202.62	1	110
229.51	201.61	1	111
234.67	207.66	1	112
238.97	205.65	1	113
240.69	206.65	1	114
245.85	213.71	1	115
251	212.7	1	116
252.72	213.71	1	117
257.02	217.74	1	118
260.46	219.76	1	119
268.19	221.77	1	120
270.77	222.78	1	121
275.07	228.83	1	122
279.37	228.83	1	123
280.23	229.84	1	124
286.25	231.85	1	125
292.26	233.87	1	126
294.84	233.87	1	127
297.42	236.9	1	128
301.72	236.9	1	129
