---------			
FIGNO:MSP8181			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:J/mol.K2			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.2	0.0672	1	1
0.25	0.0721	1	2
0.25	0.0777	1	3
0.31	0.0818	1	4
0.34	0.085	1	5
0.36	0.0883	1	6
0.36	0.0923	1	7
0.42	0.0964	1	8
0.45	0.1012	1	9
0.48	0.1053	1	10
0.51	0.1134	1	11
0.53	0.1182	1	12
0.59	0.1206	1	13
0.59	0.1231	1	14
0.62	0.1263	1	15
0.67	0.132	1	16
0.7	0.1344	1	17
0.73	0.1393	1	18
0.84	0.1457	1	19
0.79	0.1474	1	20
0.87	0.1498	1	21
0.93	0.1506	1	22
0.9	0.1538	1	23
0.93	0.1555	1	24
0.98	0.1522	1	25
1.04	0.1247	1	26
1.07	0.1134	1	27
1.12	0.1101	1	28
1.12	0.102	1	29
1.15	0.098	1	30
1.18	0.0923	1	31
1.21	0.085	1	32
1.24	0.0818	1	33
1.24	0.0794	1	34
1.24	0.0761	1	35
1.32	0.0737	1	36
1.38	0.0721	1	37
1.43	0.0704	1	38
1.49	0.0696	1	39
1.6	0.0704	1	40
1.77	0.0704	1	41
1.88	0.0696	1	42
2.02	0.0704	1	43
2.11	0.0704	1	44
2.3	0.0704	1	45
2.41	0.0688	1	46
2.47	0.0672	1	47
2.55	0.0696	1	48
2.67	0.0688	1	49
2.78	0.0672	1	50
2.92	0.0688	1	51
3.09	0.068	1	52
3.23	0.0688	1	53
3.37	0.0688	1	54
3.51	0.0696	1	55
3.65	0.0704	1	56
3.82	0.0704	1	57
3.9	0.0713	1	58
3.99	0.0713	1	59
4.1	0.0696	1	60
4.24	0.0713	1	61
4.38	0.0713	1	62
4.49	0.0713	1	63
4.58	0.0721	1	64
4.66	0.0713	1	65
4.94	0.0713	1	66
5.08	0.0721	1	67
5.22	0.0737	1	68
5.47	0.0721	1	69
5.67	0.0721	1	70
5.78	0.0761	1	71
6.09	0.0737	1	72
6.32	0.0737	1	73
6.51	0.0777	1	74
6.82	0.0761	1	75
7.1	0.0753	1	76
7.27	0.0761	1	77
7.38	0.0794	1	78
7.72	0.0802	1	79
7.94	0.0769	1	80
