---------			
FIGNO:MTC12305			
XPROP:M-content 			
XUNIT:x			
YPROP:Tc			
YUNIT:K			
"PPROP:1 M=(In0.5Sb0.5), 2 M=(Ge0.5Pb0.5),  3 M=(Ga0.5Bi0.5)"			
PUNIT:			

---------			
xdata	ydata	pdata	number
0	18.04	1	1
0.05	18.03	1	2
0.1	17.8	1	3
0.15	17.56	1	4
0.2	17.26	1	5
0.25	16.86	1	6
0.3	16.52	1	7
0.35	16.29	1	8
0.4	15.97	1	9
0.45	15.61	1	10
0.5	15.36	1	11
0.55	15.22	1	12
0.6	14.78	1	13
0	18.03	2	1
0.05	18.13	2	2
0.1	18.07	2	3
0.15	18.05	2	4
0.2	18.01	2	5
0.25	17.96	2	6
0.3	17.99	2	7
0.35	17.94	2	8
0.4	17.84	2	9
0.45	17.78	2	10
0.5	17.8	2	11
0.55	17.44	2	12
0.6	17.18	2	13
0	18.03	3	1
0.05	18.33	3	2
0.1	18.29	3	3
0.2	18.27	3	4
0.3	18.2	3	5
0.4	18.06	3	6
0.5	17.44	3	7
