---------			
FIGNO:MTC12341			
XPROP:W-content inZr1-xWx			
XUNIT:at %			
YPROP:Tc			
YUNIT:K			
PPROP:2 quenched sample			
PUNIT:			

---------			
xdata	ydata	pdata	number
3.1	2.9	1	1
5.4	3.88	1	2
9.1	3.93	1	3
14.5	3.64	1	4
20.2	3.5	1	5
29.5	3.28	1	6
34.7	3.01	1	7
50.2	2.89	1	8
67.1	2.5	1	9
66.5	1.98	1	10
80	2.01	1	11
89.8	1.18	1	12
65.57	2.7	2	1
66.01	2.66	2	2
66.52	2.6	2	3
66.58	2.56	2	4
66.66	2.39	2	5
66.79	2.16	2	6
67.02	2.17	2	7
67.06	2.25	2	8
67.16	2.45	2	9
67.22	2.56	2	10
67.53	2.69	2	11
