---------			
FIGNO:MTC150015			
XPROP:P			
XUNIT:GPa			
YPROP:Tc			
YUNIT:K			
"PPROP:1 alpha, 2  omega,  3 beta-phase"			
PUNIT:			
---------			
xdata	ydata	pdata	number
0	1.86	1	1
2.08	2.43	1	2
2.41	2.57	1	3
5.81	3.29	1	4
7.78	3.38	1	5
9.53	3.9	1	6
10.96	3.1	2	1
15.12	3.9	2	2
17.75	4.1	2	3
19.51	3.86	2	4
20.38	4.05	2	5
21.92	4.14	2	6
27.29	4.67	2	7
30.03	5	2	8
32.99	5.52	2	9
36.16	5.52	2	10
39.67	5.9	2	11
42.52	6.62	2	12
44.82	6.86	2	13
47.01	7.1	2	14
36.27	6.62	3	1
39.78	7.48	3	2
42.52	12.52	3	3
45.04	14	3	4
47.01	15	3	5
